input,colorTemp,lux,R,G,B
no top 1,3237,365,1972,866,640,497
no top 2,3243,365,1972,865,640,497
top on 1,2520,23,401,195,109,116
top on 2,2520,23,402,195,109,116
top on 3,2,195,109,116
top on 4,2520,23,402,195,109,116
blank water no top,4006,755,3590,1427,1212,949
blank water no top 2,4009,754,3595,1428,1212,950
blank water top on 1,11235,118,955,345,294,319
blank water top on 2,11050,119,953,344,294,318
blank water top on 3,345,295,320
blank water top on 4,11266,119,960,345,295,320
1 drop red in 150mls 1,66,1385,347
1 drop red in 150mls 2,802,1089,386,347
1 drop red in 150mls 3,61822,0,1803,1090,386,348
1 drop red in 150mls 4,62207,0,1802,1089,386,348
1 drop red in 150mls w top 1,5250,30,657,299,172,197
1 red w top 2,30,656,299,172,197
1 red w top 3,5048,31,660,301,174,198
1 red w top 4,661,301,174,199
1 red w top 5,5367,31,661,301,174,199
1 red w top 6,5222,30,662,302,174,199
1 red w top 7,5222,30,662,302,174,199
