time(s),Color Temperature,Lux,Clear,Raw Red,Raw Green,Raw Blue,R,G,B
0.157193661,18521,79,804,294,239,277,93.61,76.1,88.2
0.308125019,18591,79,802,293,239,277,93.53,76.29,88.42
0.478305101,18491,79,805,294,240,278,93.5,76.32,88.41
0.636666775,18521,79,803,294,239,277,93.73,76.19,88.31
0.78755641,18491,79,805,294,240,278,93.5,76.32,88.41
0.962645054,19281,78,804,294,239,278,93.61,76.1,88.52
1.118719339,18521,79,804,294,239,277,93.61,76.1,88.2
1.273909807,19281,78,804,294,239,278,93.61,76.1,88.52
1.434639931,19281,78,804,294,239,278,93.61,76.1,88.52
1.600991726,19281,78,804,294,239,278,93.61,76.1,88.52
1.761461496,19281,78,804,294,239,278,93.61,76.1,88.52
1.909845829,18491,79,804,294,240,278,93.61,76.42,88.52
2.077954769,19281,78,804,294,239,278,93.61,76.1,88.52
2.230268717,18491,79,805,294,240,278,93.5,76.32,88.41
2.393329382,18591,79,802,293,239,277,93.53,76.29,88.42
2.559625149,18338,82,813,295,243,281,92.89,76.52,88.48
2.712267637,18817,83,824,297,246,285,92.27,76.43,88.54
2.87655282,19549,82,824,297,246,286,92.27,76.43,88.85
3.038757324,19752,80,818,296,243,283,92.64,76.05,88.57
3.191578388,20614,75,810,290,235,275,91.65,74.27,86.91
3.35820055,21535,75,796,289,236,277,92.94,75.9,89.09
3.510777235,22088,73,786,286,232,273,93.15,75.56,88.92
3.678367615,23972,69,772,283,227,269,93.84,75.27,89.2
3.826858997,24544,67,763,281,224,266,94.28,75.16,89.25
3.994753838,26612,65,757,279,221,264,94.35,74.74,89.28
4.14161706,27959,61,744,276,216,259,94.97,74.32,89.12
4.312238455,29109,62,749,277,218,262,94.68,74.51,89.55
4.476341009,29818,61,744,275,216,260,94.62,74.32,89.46
4.628974438,32613,59,739,274,214,259,94.92,74.13,89.72
4.792914152,33997,57,732,272,211,256,95.13,73.79,89.53
4.944888115,33548,58,735,272,212,257,94.74,73.84,89.51
5.108892202,35045,56,725,270,209,254,95.34,73.8,89.69
5.276654482,35600,55,723,269,208,253,95.25,73.65,89.58
5.428179979,36143,54,720,269,207,252,95.64,73.6,89.6
5.593103647,39087,54,722,269,207,253,95.38,73.4,89.71
5.758583069,40526,52,716,268,205,251,95.82,73.3,89.74
5.911426306,37987,52,714,268,204,249,96.09,73.14,89.28
6.077950954,38680,52,711,267,203,248,96.14,73.09,89.29
6.226827145,42995,50,710,267,202,248,96.27,72.83,89.42
6.394838572,37505,50,704,267,200,244,97.09,72.73,88.73
6.557527065,37505,50,703,267,200,244,97.23,72.83,88.85
6.710182667,38197,49,702,267,199,243,97.37,72.57,88.62
6.877019405,40953,49,704,267,200,245,97.09,72.73,89.09
7.024758339,38935,48,699,267,198,242,97.79,72.52,88.63
7.196064472,38952,49,699,266,198,242,97.42,72.52,88.63
7.345156193,38935,48,699,267,198,242,97.79,72.52,88.63
7.509100199,35682,49,698,266,198,241,97.56,72.62,88.39
7.675514221,36975,48,694,266,196,239,98.12,72.3,88.16
7.834926605,31134,49,691,266,196,237,98.55,72.61,87.8
7.995001793,33857,48,692,266,196,238,98.4,72.51,88.05
8.147473812,31134,49,692,266,196,237,98.4,72.51,87.68
8.311350346,34423,47,690,266,195,237,98.69,72.35,87.93
8.474322796,34423,47,691,266,195,237,98.55,72.24,87.8
8.626996994,35025,47,688,266,194,236,98.98,72.19,87.81
8.793760777,31583,48,690,266,195,236,98.69,72.35,87.56
8.950641632,35025,47,688,266,194,236,98.98,72.19,87.81
9.110199928,32059,47,687,266,194,235,99.12,72.29,87.57
9.258139372,32059,47,686,266,194,235,99.27,72.4,87.7
9.425430059,32565,46,685,266,193,234,99.41,72.13,87.45
9.592577219,32565,46,685,266,193,234,99.41,72.13,87.45
9.741453648,32565,46,686,266,193,234,99.27,72.02,87.32
9.909768105,32565,46,685,266,193,234,99.41,72.13,87.45
10.06068277,35666,46,686,266,193,235,99.27,72.02,87.7
10.22477341,29869,47,685,266,193,233,99.41,72.13,87.08
10.39096546,32565,46,685,266,193,234,99.41,72.13,87.45
10.54399371,29869,47,684,266,193,233,99.56,72.23,87.2
10.70934701,32565,46,685,266,193,234,99.41,72.13,87.45
10.87022638,35666,46,686,266,193,235,99.27,72.02,87.7
11.02990675,32565,46,685,266,193,234,99.41,72.13,87.45
15.63843822,32565,46,685,266,193,234,99.41,72.13,87.45
15.82622409,35711,46,686,265,193,235,98.89,72.02,87.7
15.9834249,35666,46,686,266,193,235,99.27,72.02,87.7
16.13413763,35666,46,686,266,193,235,99.27,72.02,87.7
16.29446936,35711,46,686,265,193,235,98.89,72.02,87.7
16.45626354,35711,46,686,265,193,235,98.89,72.02,87.7
16.60992026,32631,47,686,265,193,234,98.89,72.02,87.32
16.78429389,35711,46,686,265,193,235,98.89,72.02,87.7
16.94315076,35666,46,686,266,193,235,99.27,72.02,87.7
