time(s),Color Temperature,Lux,Clear,Raw Red,Raw Green,Raw Blue,R,G,B
0.110134602,33942,63,726,266,217,263,93.8,76.52,92.74
0.277616978,33942,63,726,266,217,263,93.8,76.52,92.74
0.436542988,31568,65,727,266,218,263,93.67,76.76,92.61
0.588416576,33942,63,726,266,217,263,93.8,76.52,92.74
0.75693059,33546,64,728,266,218,264,93.54,76.66,92.84
0.917255402,33942,63,726,266,217,263,93.8,76.52,92.74
1.064438581,33546,64,728,266,218,264,93.54,76.66,92.84
1.236893415,33942,63,726,266,217,263,93.8,76.52,92.74
1.392869234,31568,65,727,266,218,263,93.67,76.76,92.61
1.559277773,33942,63,726,266,217,263,93.8,76.52,92.74
1.717228651,33942,63,726,266,217,263,93.8,76.52,92.74
1.874303341,33942,63,726,266,217,263,93.8,76.52,92.74
2.041912794,33942,63,727,266,217,263,93.67,76.41,92.61
2.201891184,33942,63,725,266,217,263,93.93,76.62,92.87
2.346383095,33942,63,726,266,217,263,93.8,76.52,92.74
2.512916088,33942,63,727,266,217,263,93.67,76.41,92.61
2.673567772,33942,63,726,266,217,263,93.8,76.52,92.74
2.840509653,31568,65,727,266,218,263,93.67,76.76,92.61
2.990422964,33942,63,726,266,217,263,93.8,76.52,92.74
3.157381058,33942,63,727,266,217,263,93.67,76.41,92.61
3.308796644,33942,63,726,266,217,263,93.8,76.52,92.74
3.476831436,31568,65,727,266,218,263,93.67,76.76,92.61
3.639414549,33942,63,726,266,217,263,93.8,76.52,92.74
3.798792362,31568,65,727,266,218,263,93.67,76.76,92.61
3.959011793,33942,63,726,266,217,263,93.8,76.52,92.74
4.115211248,31568,65,727,266,218,263,93.67,76.76,92.61
4.270750523,33942,63,726,266,217,263,93.8,76.52,92.74
4.435179234,33942,63,727,266,217,263,93.67,76.41,92.61
4.590191841,35280,64,731,266,219,266,93.15,76.69,93.15
4.74508667,35311,61,719,264,214,260,94,76.19,92.57
4.90799284,34825,62,721,265,215,261,94.09,76.34,92.67
5.069984198,32712,63,720,264,215,260,93.87,76.44,92.44
5.223677874,34379,60,711,263,211,256,94.69,75.97,92.17
5.390027285,33861,60,715,265,212,257,94.88,75.9,92.02
5.555994034,34338,59,711,264,211,256,95.05,75.97,92.17
5.709021568,37913,57,708,264,209,255,95.46,75.57,92.2
5.871170282,36504,54,688,259,202,246,96.37,75.16,91.53
6.023891211,35811,57,705,263,208,253,95.5,75.53,91.87
6.191783905,33402,56,687,259,203,246,96.51,75.64,91.67
6.351503372,37090,53,685,259,201,245,96.79,75.12,91.56
6.506399632,34387,54,683,258,201,244,96.7,75.34,91.46
6.672644854,34851,53,684,259,200,243,96.94,74.85,90.95
6.82215476,37090,53,685,259,201,245,96.79,75.12,91.56
