time(s),lux,R,G,B,
0.109907866,146,1094,339,356,417
0.274496078,155,1162,347,375,442
0.43312645,153,1129,343,367,430
0.592649221,149,1129,343,364,428
0.752197027,158,1148,346,374,437
0.907868147,145,1104,340,356,418
1.067932129,157,1162,347,378,446
1.227531195,146,1098,340,356,417
1.387171745,162,1166,349,383,449
1.540195942,148,1105,340,360,423
1.70215416,159,1138,345,373,434
1.84639287,156,1130,344,371,434
2.014661789,151,1115,342,362,422
2.176047802,160,1145,346,378,443
2.324400902,155,1121,342,365,423
2.490071058,159,1136,345,375,438
2.652992964,154,1121,342,366,427
2.79712677,161,1147,347,378,441
2.960865736,155,1127,342,369,431
3.123210907,160,1155,347,378,442
3.27867794,154,1125,342,369,433
3.435948849,159,1154,346,376,440
3.59880662,156,1128,343,371,434
3.76253581,157,1149,345,374,438
3.909908295,156,1128,343,370,432
4.082265854,159,1136,344,372,432
4.241948605,157,1136,344,372,435
4.39714241,159,1151,345,378,444
4.557551861,159,1150,346,376,440
4.716851473,158,1145,344,377,444
4.872438431,159,1160,347,378,443
5.028842926,155,1146,344,375,443
5.189176798,162,1179,348,384,452
5.348309517,153,1147,344,373,442
5.507899284,158,1162,346,379,447
5.651508093,114,1010,331,315,376
5.813777208,96,944,322,288,346
5.973321676,91,932,323,282,340
6.142018795,83,906,321,271,328
6.290237427,75,871,317,258,313
6.457427263,73,861,314,254,308
6.617696762,71,841,309,248,300
6.777227163,68,831,307,244,296
6.920974493,67,826,306,242,294
7.092718124,68,825,306,242,293
7.238918304,69,842,312,247,299
7.407896519,70,858,319,251,303
7.567990065,65,816,306,238,288
7.712179422,65,814,305,238,288
7.882982016,67,824,308,241,291
8.043087482,64,808,304,236,286
8.19535923,63,799,301,233,282
8.362098694,64,813,305,237,287
8.517668009,67,826,309,242,292
8.677008629,66,825,310,241,291
8.832882166,66,822,308,240,290
8.979339838,66,817,307,239,288
9.146154404,68,836,313,244,294
9.312253237,69,852,319,249,300
9.468400717,64,810,306,236,285
9.62759304,65,812,307,237,286
9.778227091,66,819,309,239,288
9.947205782,66,827,312,241,290
10.0901258,66,823,310,240,289
10.25687647,66,823,311,240,289
10.42254949,67,843,318,245,295
10.5783608,67,825,311,241,290
10.73757076,66,817,308,239,288
10.88932681,67,841,318,245,295
11.05663323,65,816,307,238,288
