time(s),colorTemp,lux,R,G,B,
0.166588068,42168,85,869,289,264,324
0.322804689,42168,85,870,289,264,324
0.482453108,42655,84,867,289,263,323
0.64168644,46660,84,872,289,264,326
0.797462463,44873,84,867,289,263,324
0.957546711,46660,84,871,289,264,326
1.117193699,47911,82,865,289,262,324
1.272716761,46660,84,872,289,264,326
1.432339907,45417,83,864,288,262,323
1.592392683,42647,85,868,288,263,323
1.752004147,45417,83,864,288,262,323
1.908034801,44873,84,869,289,263,324
2.059760332,45417,83,865,288,262,323
2.227030754,44873,84,868,289,263,324
2.367273331,45417,83,866,288,262,323
2.54278183,44873,84,868,289,263,324
2.702446938,45417,83,867,288,262,323
2.85821557,47874,82,866,288,262,324
3.01769042,44854,84,868,288,263,324
3.177064657,44854,84,866,288,263,324
3.337079287,47274,83,869,289,263,325
3.492952585,47911,82,866,289,262,324
3.652749777,47274,83,869,289,263,325
3.800533772,47911,82,866,289,262,324
3.968203068,47274,83,869,289,263,325
4.127136469,47911,82,866,289,262,324
4.287332058,44873,84,867,289,263,324
4.447026491,45417,83,864,288,262,323
4.602906704,44873,84,866,289,263,324
4.762681007,38585,80,842,287,254,310
4.922130108,40846,82,854,288,258,316
5.078155279,36310,82,843,288,255,310
5.237392902,36676,81,842,288,254,309
5.397078753,37056,80,840,288,253,308
5.553263426,37465,79,837,287,252,307
5.712930918,35984,79,835,287,251,305
5.872720957,34240,80,833,287,251,304
6.032008171,34240,80,833,287,251,304
6.187491894,34565,79,831,287,250,303
6.347519636,36354,78,832,287,250,304
6.500375986,32911,80,830,287,250,302
6.663073063,34903,78,828,287,249,302
6.822918653,34903,78,828,287,249,302
6.982588053,33207,79,827,287,249,301
7.12668395,34903,78,828,287,249,302
7.297737837,32911,80,829,287,250,302
7.457460403,34565,79,831,287,250,303
7.617138624,33207,79,827,287,249,301
7.773008108,32911,80,829,287,250,302
7.932952881,34903,78,829,287,249,302
8.092629194,34903,78,828,287,249,302
8.248412609,34903,78,829,287,249,302
8.407855749,34565,79,830,287,250,303
8.567470312,34240,80,832,287,251,304
8.727307081,35984,79,833,287,251,305
8.883184195,34240,80,833,287,251,304
9.042272568,34565,79,831,287,250,303
9.202444553,35984,79,834,287,251,305
9.357815504,35626,80,835,287,252,306
9.517920971,37871,79,836,287,251,306
9.677326441,39450,78,838,288,252,308
9.83692646,39457,79,838,287,252,308
9.992973804,39003,79,840,288,253,309
10.15270901,37056,80,839,288,253,308
10.31180906,39450,78,838,288,252,308
10.46838737,40628,79,844,288,254,311
10.62185669,38573,80,843,288,254,310
10.78749347,40158,80,845,288,255,312
10.94350863,42326,79,847,288,255,313
11.10297775,42326,79,847,288,255,313
11.26262283,42326,79,847,288,255,313
11.42232895,44101,80,850,288,256,315
11.57824922,43008,81,854,288,258,317
11.73723173,43008,81,854,288,258,317
11.89734888,43544,80,852,288,257,316
12.04604006,45351,80,855,288,258,318
12.20757151,49262,80,863,289,260,322
12.37265468,51340,80,866,289,261,324
12.53211284,51340,80,866,289,261,324
12.68756413,51932,82,873,289,264,328
12.84782267,54917,82,874,289,264,329
13.0073173,59761,81,881,290,266,333
13.16290617,57836,83,886,290,268,335
13.32287121,65522,83,895,291,271,341
13.47896266,1013,83,894,290,270,340
13.63476181,7027,83,901,291,272,344
13.79751706,2754,83,898,291,272,343
13.95769835,26360,86,928,292,282,361
14.11722541,43935,86,942,293,286,369
14.27278757,8820,90,977,294,298,389
14.43231845,24667,91,988,295,302,396
14.59261227,54093,92,1028,297,314,419
14.75210714,34432,93,1024,297,314,418
14.90808845,40041,90,995,296,304,400
15.06759834,17104,96,1078,300,331,449
15.22699451,41254,98,1120,301,346,478
15.38301277,19926,98,1138,302,349,484
15.54299307,35786,104,1138,303,354,486
