time(s),colorTemp,lux,R,G,B,
0.152997255,18693,114,907,310,290,332
0.30871129,19783,112,903,309,290,334
0.467883348,20219,113,906,310,292,337
0.62025547,19817,112,902,309,289,333
0.78759408,21107,116,909,311,297,344
0.942832232,19473,108,896,308,284,327
1.103220701,20110,116,905,310,295,340
1.262155533,19473,108,895,308,284,327
1.414973974,20706,114,905,310,294,340
1.577442408,20381,111,901,309,289,334
1.738067627,20456,117,917,312,298,344
1.897583723,20835,112,903,310,291,337
2.052770853,20500,117,913,311,298,344
2.212845802,19817,112,899,309,289,333
2.372657537,21062,116,911,311,298,345
2.519700289,20462,109,899,309,287,332
2.687927246,19996,117,915,311,297,342
2.843151808,20421,110,898,309,288,333
3.007148266,19535,116,915,311,295,339
3.162800074,20342,112,904,309,290,335
3.322342396,19565,115,913,311,294,338
3.482591867,20927,111,905,309,290,336
3.637568712,19610,116,911,310,294,338
3.793582916,20219,113,907,310,292,337
3.957029104,20748,113,909,310,293,339
4.117378473,20182,114,909,310,293,338
4.273314476,18871,104,865,303,275,316
4.432864904,18725,99,842,299,267,307
4.591894388,18674,101,846,299,269,309
4.748441696,18142,101,844,299,268,307
4.908185005,19086,101,853,301,271,312
5.06342721,18832,98,838,298,265,305
5.219325304,18915,97,834,297,264,304
5.378485441,18481,95,824,296,260,299
5.542901278,18615,93,818,295,257,296
5.698065042,18615,93,816,295,257,296
5.858135939,18615,93,816,295,257,296
6.017712116,18615,93,818,295,257,296
6.173858643,18701,92,814,294,256,295
6.33336854,18036,93,813,295,256,294
6.492848873,18701,92,814,294,256,295
6.648993492,18506,94,821,296,259,298
6.807766199,19092,94,826,296,260,300
6.967823505,18322,96,831,298,262,301
7.127968788,18615,93,817,295,257,296
7.283564806,19035,94,826,297,260,300
7.443552017,18016,93,816,295,257,295
7.6025846,18847,90,807,293,253,292
7.758565664,18878,89,804,293,252,291
7.918629885,18411,89,797,291,250,288
8.071106434,18411,89,797,291,250,288
8.233889818,17794,90,795,291,250,287
8.391718864,18278,91,804,292,253,291
8.553267479,18386,90,800,291,251,289
8.70893383,18218,91,805,293,253,291
8.868129492,18196,92,807,293,254,292
9.028626442,18538,95,821,295,260,299
9.182912111,18290,100,834,297,266,305
9.343937635,18442,99,828,295,264,303
9.503686428,18970,98,830,296,264,304
9.663221121,18366,99,829,296,265,304
9.822511911,18344,100,833,296,266,305
9.978751659,18233,93,807,292,255,293
10.13778877,18189,94,810,292,257,295
10.29422498,17979,98,823,294,262,300
10.45358658,18322,101,836,296,267,306
10.61367869,18832,102,842,296,269,309
10.77311492,18228,102,840,297,269,308
10.93079853,18625,103,849,299,271,311
11.08842111,19191,102,849,299,271,312
11.2483995,18653,104,850,298,272,312
11.40809011,18555,105,856,299,274,314
11.56033111,19103,104,856,299,274,315
11.72058678,19228,109,876,303,282,324
11.88337111,19172,111,881,303,284,326
12.04300308,19817,108,876,303,281,324
12.19858098,19389,114,898,306,290,333
12.35795784,20039,112,894,305,288,332
12.51764703,19098,111,886,304,285,327
12.67349529,19748,109,881,303,283,326
12.833673,19733,108,881,304,282,325
12.993361,19797,114,904,308,291,335
13.14881253,19854,119,928,312,300,345
13.30871487,19688,122,938,313,304,349
13.46852708,19979,124,951,315,308,354
13.62797856,19718,114,909,309,292,336
13.78394294,20325,123,957,318,309,356
13.94039655,19968,123,948,316,307,353
14.10301661,20190,127,963,318,313,360
14.2590816,20124,134,994,323,324,372
14.41854715,20435,130,980,320,318,366
14.57829928,20544,128,974,319,316,364
14.73795986,21502,127,980,320,317,367
14.88904548,20395,129,979,321,318,366
15.05358076,21052,133,1002,323,325,375
15.21266031,20500,146,1053,332,345,396
15.37237668,21243,153,1083,337,357,411
15.52870917,21365,157,1101,339,364,419
15.68489957,21401,168,1143,346,381,438
15.84813333,21880,166,1144,346,379,437
16.00770187,22412,178,1205,356,401,463
16.16329694,21749,192,1262,367,423,486
16.32313538,22484,224,1421,393,478,550
16.48290491,22044,184,1224,359,409,471
16.63853884,22148,211,1345,381,455,523
16.79844737,22279,210,1328,378,453,521
