time(s),colorTemp,lux,R,G,B
0.16195964813232422,32422,96,959,327,291,351
0.3215675354003906,33476,96,966,328,292,353
0.47693467140197754,32422,96,959,327,291,351
0.6370458602905273,35163,94,965,328,291,353
0.7969009876251221,32422,96,959,327,291,351
0.9527938365936279,33732,95,964,328,291,352
1.1009612083435059,32658,95,958,327,290,350
1.2673330307006836,33732,95,964,328,291,352
1.4315917491912842,32658,95,959,327,290,350
1.5874145030975342,33732,95,963,328,291,352
1.7472608089447021,32658,95,958,327,290,350
1.9060611724853516,33759,95,962,327,291,352
2.0559651851654053,32658,95,958,327,290,350
2.2221577167510986,33759,95,962,327,291,352
2.3820602893829346,32658,95,959,327,290,350
2.5415542125701904,32422,96,962,327,291,351
2.6973209381103516,34022,94,959,327,290,351
2.857015371322632,32422,96,961,327,291,351
3.0165815353393555,32658,95,959,327,290,350
3.172590732574463,33759,95,961,327,291,352
3.3249104022979736,32658,95,959,327,290,350
3.492008924484253,32422,96,961,327,291,351
3.6471431255340576,32658,95,959,327,290,350
3.8073079586029053,32422,96,961,327,291,351
3.9670650959014893,32422,96,959,327,291,351
4.126605987548828,32422,96,960,327,291,351
4.278377056121826,32422,96,959,327,291,351
4.439956903457642,32422,96,960,327,291,351
4.601771593093872,31167,96,959,327,291,350
4.757585763931274,32587,90,928,321,280,338
4.9173173904418945,33410,88,921,320,277,335
5.0767130851745605,33138,88,924,320,278,336
5.235877513885498,33440,88,920,319,277,335
5.3918678760528564,33138,88,924,320,278,336
5.551496267318726,33138,88,924,320,278,336
5.711059331893921,33440,88,920,319,277,335
5.8676533699035645,33115,86,909,317,273,330
6.027314901351929,34641,85,908,318,273,331
6.186703205108643,34334,86,910,318,274,332
6.3428544998168945,34641,85,908,318,273,331
6.501997470855713,35672,83,901,316,270,328
6.661967515945435,35672,83,899,316,270,328
6.821689128875732,36676,83,906,318,272,331
6.977576732635498,36021,82,897,316,269,327
7.133973598480225,36021,82,897,316,269,327
7.296167850494385,35672,83,899,316,270,328
7.452707767486572,38279,81,895,315,268,327
7.611253261566162,38701,80,892,315,267,326
7.771551132202148,38701,80,892,315,267,326
7.931322336196899,36775,81,892,315,267,325
8.087035417556763,38701,80,893,315,267,326
8.24228835105896,38701,80,892,315,267,326
8.405531883239746,36043,82,896,315,269,327
8.562488079071045,37064,83,902,317,271,330
8.71581482887268,37462,82,899,316,270,329
8.88182258605957,36403,82,894,315,268,326
9.037606000900269,37446,82,901,317,270,329
9.197434425354004,36403,82,893,315,268,326
9.356574535369873,38111,83,910,319,273,333
9.509209394454956,37462,82,899,316,270,329
9.668834209442139,36403,82,893,315,268,326
9.83210277557373,37857,81,897,316,269,328
9.991734266281128,37462,82,899,316,270,329
10.147201776504517,37857,81,897,316,269,328
10.30681324005127,37857,81,897,316,269,328
10.467174053192139,38279,81,895,315,268,327
10.626584529876709,37462,82,899,316,270,329
10.782111883163452,37462,82,898,316,270,329
10.942275762557983,38124,83,907,318,273,333
11.101868391036987,37733,84,909,318,274,334
11.257589101791382,37356,85,911,318,275,335
11.414592981338501,37733,84,909,318,274,334
11.57702898979187,38137,84,905,317,273,333
11.733042240142822,40079,83,908,317,273,334
11.892107963562012,38551,83,903,316,272,332
12.051644563674927,38137,84,906,317,273,333
12.211786270141602,37356,85,912,318,275,335
12.367596626281738,36620,86,915,319,277,337
12.52703595161438,39442,86,923,320,279,341
12.686667680740356,36221,90,932,321,283,344
12.842751502990723,36830,92,938,322,286,348
13.001833438873291,38490,91,941,323,286,349
13.161943197250366,37871,89,933,322,283,345
13.314436674118042,38114,91,944,324,287,350
13.470111608505249,37759,92,947,324,288,351
13.636814832687378,36724,94,955,326,291,354
13.796918869018555,37050,93,953,326,290,353
13.952788829803467,36971,96,967,328,295,359
14.112451076507568,39091,92,952,325,289,353
14.271947860717773,38579,95,966,327,295,360
14.431543827056885,39091,92,952,325,289,353
14.587751865386963,37640,95,962,327,293,357
14.746915102005005,38570,95,968,328,295,360
14.906933546066284,38937,95,966,327,294,359
15.062768936157227,39147,97,976,329,298,364
15.222437858581543,37768,99,988,331,302,368
15.381818294525146,38406,106,1021,336,314,383
15.541754961013794,36204,106,1013,334,312,379
15.701621294021606,35603,113,1046,339,324,393
