time(s),Color Temperature,Lux,Clear,Raw Red,Raw Green,Raw Blue,R,G,B
0.11690259,26817,79,842,298,250,298,90.6,76.01,90.6
0.244987488,26762,79,844,299,250,298,90.69,75.83,90.39
0.409142494,27785,79,847,300,251,300,90.67,75.86,90.67
0.570847511,26596,80,845,299,251,299,90.58,76.04,90.58
0.727592707,26596,80,846,299,251,299,90.48,75.95,90.48
0.887390375,27838,79,846,299,251,300,90.48,75.95,90.78
1.057594776,26596,80,844,299,251,299,90.69,76.13,90.69
1.201856136,27838,79,846,299,251,300,90.48,75.95,90.78
1.376794815,26596,80,845,299,251,299,90.58,76.04,90.58
1.525662661,27599,80,848,300,252,301,90.57,76.08,90.87
1.693565607,27599,80,850,300,252,301,90.35,75.9,90.65
1.856258631,28911,79,851,300,252,302,90.25,75.81,90.85
2.008957148,30828,76,851,300,250,301,90.25,75.21,90.55
2.171995163,28228,77,846,299,249,298,90.48,75.35,90.17
2.326473951,29626,77,849,299,249,299,90.16,75.08,90.16
2.495250702,29626,77,849,299,249,299,90.16,75.08,90.16
2.654207945,28485,77,845,298,248,297,90.28,75.13,89.98
2.807344198,28280,78,844,298,249,298,90.39,75.53,90.39
2.974133253,28485,77,840,298,248,297,90.82,75.58,90.51
3.123611689,28485,77,841,298,248,297,90.71,75.49,90.41
3.290336847,26988,78,842,298,249,297,90.6,75.71,90.3
3.457229853,28485,77,841,298,248,297,90.71,75.49,90.41
3.605878115,28485,77,840,298,248,297,90.82,75.58,90.51
3.773921728,27220,78,840,297,248,296,90.51,75.58,90.21
3.921844482,28537,77,840,297,248,297,90.51,75.58,90.51
4.0892694,27220,78,839,297,248,296,90.62,75.67,90.32
4.255832911,28485,77,842,298,248,297,90.6,75.4,90.3
4.406110764,27701,77,835,295,246,294,90.44,75.42,90.14
4.572607517,26829,76,828,294,244,291,90.9,75.44,89.97
4.72442317,25663,77,827,293,244,290,90.7,75.53,89.77
4.888422728,23769,79,821,290,243,287,90.43,75.77,89.49
5.054576635,21661,77,801,286,237,278,91.41,75.75,88.85
5.206287384,21441,79,807,287,239,280,91.04,75.82,88.82
5.37310791,20832,78,798,285,237,277,91.43,76.03,88.86
5.524526358,18884,78,783,281,233,270,91.87,76.18,88.28
5.690443039,19592,77,785,282,233,271,91.96,75.98,88.38
5.853866816,18780,79,786,282,234,271,91.85,76.21,88.26
6.005781174,18278,78,778,280,231,267,92.13,76.01,87.86
6.173073053,17685,77,771,279,229,264,92.64,76.04,87.66
6.321787357,17560,79,778,280,232,267,92.13,76.34,87.86
6.489423037,16526,78,763,277,227,260,92.94,76.16,87.23
6.640947819,15922,80,766,277,229,261,92.57,76.53,87.23
6.804703712,14999,80,755,274,226,256,92.91,76.63,86.8
6.971734047,14568,79,745,272,223,252,93.47,76.63,86.59
7.124519825,14136,80,744,271,223,251,93.25,76.73,86.37
7.291506767,14568,79,745,272,223,252,93.47,76.63,86.59
7.439900875,14139,78,738,270,220,248,93.66,76.31,86.03
7.607125044,14116,77,734,270,219,247,94.17,76.38,86.15
7.754644156,13694,78,732,269,219,246,94.08,76.59,86.03
7.922560215,14164,76,731,269,218,246,94.21,76.34,86.15
8.089468002,13683,76,725,268,216,243,94.63,76.27,85.8
8.239797831,14219,73,720,267,214,242,94.93,76.09,86.04
8.407524109,13716,73,714,266,212,239,95.37,76.01,85.69
8.562383175,13259,73,711,265,211,237,95.41,75.97,85.33
8.713591337,13704,71,707,265,209,236,95.95,75.68,85.45
8.888227224,13267,72,705,264,209,235,95.86,75.89,85.33
9.039412022,13753,70,705,264,208,235,95.86,75.53,85.33
9.198075771,13267,72,705,264,209,235,95.86,75.89,85.33
9.356775761,13802,70,701,263,207,234,96.05,75.59,85.46
9.527439117,13772,69,699,263,206,233,96.32,75.44,85.33
9.680360317,13240,69,698,263,206,232,96.46,75.55,85.09
9.843061686,13240,69,697,263,206,232,96.6,75.66,85.21
10.00374556,13823,68,696,262,205,232,96.37,75.4,85.33
