time(s),colorTemp,lux,R,G,B
0.10460758209228516,42002,53,746,281,212,260
0.21158504486083984,42002,53,746,281,212,260
0.36767077445983887,42002,53,746,281,212,260
0.5321738719940186,42002,53,746,281,212,260
0.6939711570739746,42002,53,747,281,212,260
0.8503096103668213,42002,53,746,281,212,260
1.0102665424346924,42002,53,748,281,212,260
1.1694014072418213,41993,53,746,280,212,260
1.3251159191131592,42002,53,748,281,212,260
1.4855706691741943,42002,53,746,281,212,260
1.6409192085266113,42002,53,747,281,212,260
1.8048014640808105,42002,53,747,281,212,260
1.9605391025543213,41207,53,747,281,213,261
2.1198809146881104,42002,53,748,281,212,260
2.279611110687256,42002,53,748,281,212,260
2.4280898571014404,42002,53,747,281,212,260
2.5954177379608154,42002,53,748,281,212,260
2.754383087158203,42002,53,747,281,212,260
2.9104654788970947,42002,53,748,281,212,260
3.0702147483825684,45814,52,748,281,212,261
3.2254436016082764,42002,53,747,281,212,260
3.389791965484619,41207,53,748,281,213,261
3.542620897293091,42002,53,747,281,212,260
3.702018976211548,42002,53,747,281,212,260
3.858625888824463,42002,53,748,281,212,260
4.016155958175659,42002,53,747,281,212,260
4.167579412460327,42002,53,748,281,212,260
4.327588081359863,42002,53,747,281,212,260
4.48307204246521,42002,53,747,281,212,260
4.642759084701538,42002,53,748,281,212,260
4.808940649032593,42002,53,747,281,212,260
4.972065210342407,42002,53,749,281,212,260
5.123394727706909,42002,53,747,281,212,260
5.290410757064819,45814,52,749,281,212,261
5.450123071670532,42002,53,747,281,212,260
5.606034755706787,45814,52,749,281,212,261
5.765432357788086,38295,63,799,293,231,282
5.925248861312866,32875,55,724,273,208,252
6.084620714187622,30189,54,709,268,204,246
6.240788459777832,27657,54,694,264,200,240
6.400507688522339,25305,56,697,265,202,241
6.560112237930298,23287,59,702,265,205,243
6.7124083042144775,22735,57,690,262,201,238
6.8756139278411865,23107,56,685,261,199,236
7.034477472305298,23767,54,676,259,196,233
7.1866066455841064,24218,53,671,258,194,231
7.345846891403198,26202,51,671,258,193,231
7.505336761474609,26202,51,670,258,193,231
7.670030117034912,25865,52,674,259,194,232
7.822227239608765,25956,52,673,258,194,232
7.985211133956909,23941,53,675,259,195,232
8.14519715309143,24218,53,672,258,194,231
8.30111312866211,23941,53,674,259,195,232
8.460616111755371,23508,55,681,260,197,234
8.62030029296875,23941,53,674,259,195,232
8.776115417480469,25956,52,672,258,194,232
8.934634447097778,23767,54,677,259,196,233
9.095289945602417,23673,54,677,260,196,233
9.251352071762085,26202,51,671,258,193,231
9.410651922225952,28216,51,672,258,193,232
9.570679903030396,26202,51,671,258,193,231
9.73038101196289,26202,51,670,258,193,231
9.881879806518555,25865,52,674,259,194,232
10.04579210281372,26202,51,670,258,193,231
10.205387830734253,24218,53,671,258,194,231
10.361189842224121,25956,52,672,258,194,232
10.520926713943481,26202,51,670,258,193,231
10.676794052124023,25865,52,673,259,194,232
10.836450815200806,26202,51,670,258,193,231
10.996201038360596,28216,51,672,258,193,232
11.155879259109497,25956,52,672,258,194,232
11.311451196670532,28216,51,672,258,193,232
11.471423149108887,25865,52,673,259,194,232
11.625344276428223,26202,51,670,258,193,231
11.79047155380249,25956,52,673,258,194,232
11.945613861083984,26202,51,671,258,193,231
12.105947256088257,25956,52,672,258,194,232
12.265437602996826,26202,51,671,258,193,231
12.421413898468018,25956,52,672,258,194,232
12.578277587890625,26202,51,671,258,193,231
12.740710020065308,24218,53,671,258,194,231
12.90051531791687,26202,51,671,258,193,231
13.048003435134888,28216,51,672,258,193,232
13.215938806533813,26202,51,671,258,193,231
13.375266075134277,25956,52,672,258,194,232
13.530651092529297,26202,51,671,258,193,231
13.691036462783813,25956,52,672,258,194,232
13.850305080413818,25956,52,672,258,194,232
14.006534576416016,25956,52,672,258,194,232
14.166345834732056,25956,52,671,258,194,232
14.310694456100464,25956,52,672,258,194,232
14.485208511352539,25956,52,672,258,194,232
14.640184879302979,24218,53,672,258,194,231
14.792444705963135,25956,52,672,258,194,232
14.96056079864502,24218,53,671,258,194,231
15.1157865524292,24218,53,671,258,194,231
15.275785446166992,24218,53,671,258,194,231
15.435725450515747,24218,53,672,258,194,231
15.591663122177124,25956,52,672,258,194,232
15.751283168792725,25956,52,672,258,194,232
15.910340785980225,25956,52,672,258,194,232
16.070720195770264,25956,52,672,258,194,232
16.225326776504517,25956,52,672,258,194,232
16.385449409484863,25956,52,673,258,194,232
16.54482388496399,25956,52,672,258,194,232
16.701510190963745,25956,52,672,258,194,232
