time(s),Color Temperature,Lux,Clear,Raw Red,Raw Green,Raw Blue,R,G,B
0.114059687,59,377,391,487,76.66,79.5,99.02,,
0.230664253,53656,133,1259,376,384,479,76.45,78.08,97.4
0.351248503,54368,136,1261,377,390,487,76.54,79.18,98.87
0.499988794,53171,134,1258,376,385,480,76.52,78.35,97.68
0.667053699,56212,135,1264,377,390,488,76.35,78.99,98.84
0.833775759,52698,135,1259,376,386,481,76.45,78.49,97.8
0.982918978,60811,133,1268,377,389,489,76.11,78.54,98.73
1.150336266,49759,138,1262,377,389,483,76.48,78.91,97.98
1.299471378,57233,134,1264,376,388,486,76.15,78.58,98.43
1.465050936,50945,138,1265,377,390,485,76.29,78.92,98.15
1.632654905,55842,134,1263,376,387,484,76.21,78.44,98.1
1.785355806,50523,139,1265,377,391,486,76.29,79.13,98.35
1.949535608,57790,133,1264,376,387,485,76.15,78.38,98.23
2.115579128,50564,136,1248,376,387,481,77.13,79.38,98.67
2.271266937,52876,130,1234,374,378,471,77.59,78.42,97.71
2.425127983,47061,131,1232,375,376,465,77.92,78.13,96.62
2.580248833,49565,119,1186,370,358,444,79.87,77.27,95.84
2.750885248,52695,112,1165,368,348,433,80.87,76.47,95.15
2.914033175,51754,111,1160,369,346,430,81.43,76.36,94.9
3.059140921,56163,103,1132,366,335,418,82.77,75.76,94.53
3.226938725,57885,99,1119,365,329,411,83.5,75.27,94.03
3.391759634,59742,96,1105,363,323,404,84.1,74.83,93.6
3.545348406,59938,95,1104,365,323,404,84.64,74.9,93.68
3.706310987,61004,88,1072,361,311,389,86.21,74.27,92.9
3.865773439,63174,86,1070,362,309,387,86.61,73.93,92.59
4.024360418,1269,83,1051,358,302,379,87.2,73.56,92.32
4.180518627,3883,81,1046,358,300,377,87.62,73.42,92.27
4.338739634,4764,79,1037,357,296,372,88.13,73.07,91.83
4.500710726,7056,76,1024,355,291,366,88.75,72.75,91.5
4.671220779,6524,74,1014,354,288,362,89.37,72.71,91.39
4.831024408,4171,74,1007,352,286,359,89.49,72.71,91.27
4.984076262,852,74,1004,352,285,357,89.75,72.67,91.03
5.150684595,2088,73,1002,351,284,356,89.68,72.56,90.95
5.299608469,2289,73,1003,352,284,356,89.84,72.49,90.86
5.467379808,8865,72,1000,351,283,356,89.86,72.45,91.14
5.614800215,9413,71,1002,353,283,356,90.19,72.3,90.95
5.782690048,3586,72,999,351,283,355,89.95,72.52,90.97
5.939840078,3803,72,1000,352,283,355,90.11,72.45,90.88
6.093877316,3586,72,999,351,283,355,89.95,72.52,90.97
6.265300274,3803,72,999,352,283,355,90.2,72.52,90.97
6.418698311,10399,71,997,350,282,355,89.87,72.41,91.15
6.580206156,4934,72,997,350,282,354,89.87,72.41,90.9
6.747858286,4934,72,996,350,282,354,89.96,72.48,90.99
6.89672184,4934,72,996,350,282,354,89.96,72.48,90.99
7.060224533,5166,72,997,351,282,354,90.13,72.41,90.9
7.216305494,4934,72,996,350,282,354,89.96,72.48,90.99
7.383699179,12305,70,995,350,281,354,90.05,72.3,91.08
7.535836697,11996,71,994,349,281,354,89.88,72.37,91.17
7.705867529,11996,71,994,349,281,354,89.88,72.37,91.17
7.866460562,11692,71,993,348,281,354,89.72,72.44,91.26
8.015187025,11692,71,993,348,281,354,89.72,72.44,91.26
8.185741186,11692,71,992,348,281,354,89.81,72.52,91.35
8.344475031,11393,71,991,347,281,354,89.64,72.59,91.45
8.505465031,11393,71,991,347,281,354,89.64,72.59,91.45
8.665109396,13336,70,990,347,280,353,89.73,72.4,91.28
8.817390203,19856,70,990,347,280,354,89.73,72.4,91.54
8.981613636,19462,70,990,346,280,354,89.47,72.4,91.54
9.132696629,13018,71,989,346,280,353,89.56,72.48,91.37
9.300653696,13018,71,989,346,280,353,89.56,72.48,91.37
9.45273304,13018,71,989,346,280,353,89.56,72.48,91.37
9.616603136,13018,71,989,346,280,353,89.56,72.48,91.37
9.782956362,13018,71,989,346,280,353,89.56,72.48,91.37
9.93027544,13018,71,988,346,280,353,89.65,72.55,91.47
10.09762979,12704,71,988,345,280,353,89.39,72.55,91.47
10.25088167,13018,71,988,346,280,353,89.65,72.55,91.47
10.41564035,12704,71,988,345,280,353,89.39,72.55,91.47
10.58199692,12704,71,987,345,280,353,89.48,72.62,91.56
10.73438859,12704,71,987,345,280,353,89.48,72.62,91.56
10.90161562,12704,71,988,345,280,353,89.39,72.55,91.47
11.04894376,12704,71,988,345,280,353,89.39,72.55,91.47
