time(s),Color Temperature,Lux,Clear,Raw Red,Raw Green,Raw Blue,R,G,B
0.115721703,1,29,269,219,266,91.33,74.36,90.31,
0.268186092,34748,64,755,269,220,267,91.21,74.6,90.53
0.42719245,32625,64,755,270,220,266,91.55,74.6,90.19
0.583558083,35147,63,754,270,219,266,91.67,74.36,90.31
0.735558987,34713,64,757,270,220,267,91.31,74.4,90.29
0.897669554,33037,64,753,269,219,265,91.45,74.45,90.09
1.065711737,34713,64,755,270,220,267,91.55,74.6,90.53
1.22594142,33037,64,753,269,219,265,91.45,74.45,90.09
1.377969742,35181,63,754,269,219,266,91.33,74.36,90.31
1.546405554,35633,62,751,269,218,265,91.7,74.31,90.33
1.706510305,29002,66,756,270,220,264,91.43,74.5,89.4
1.868479967,34713,64,757,270,220,267,91.31,74.4,90.29
2.028775454,33820,62,749,269,217,263,91.94,74.17,89.89
2.175567865,32273,65,757,270,221,267,91.31,74.74,90.29
2.335380554,36106,61,750,269,217,264,91.82,74.07,90.11
2.49590683,34713,64,757,270,220,267,91.31,74.4,90.29
2.667481422,37018,63,757,270,220,268,91.31,74.4,90.63
2.815481663,33900,65,760,270,222,269,90.95,74.78,90.61
2.975214005,34713,64,755,270,220,267,91.55,74.6,90.53
3.143054962,35684,59,738,267,213,259,92.62,73.89,89.84
3.303185225,39128,55,724,266,207,253,94.06,73.19,89.46
3.460202932,39802,54,724,267,206,252,94.41,72.84,89.1
3.614013195,40161,51,711,265,201,246,95.41,72.37,88.57
3.778888702,38985,49,702,264,198,242,96.27,72.21,88.25
3.937988997,40953,49,709,266,200,245,96.05,72.21,88.46
4.092138052,43659,47,702,265,197,242,96.64,71.84,88.25
4.26242733,45750,46,698,264,195,240,96.83,71.52,88.02
4.41717267,45365,42,676,261,187,230,98.84,70.82,87.1
4.583420038,46485,39,663,259,182,224,100.01,70.27,86.49
4.731968403,45315,38,667,263,183,225,100.94,70.24,86.36
4.895720482,44977,37,655,260,179,220,101.62,69.96,85.98
5.059732199,46415,36,651,259,178,219,101.85,70,86.12
5.219458342,49878,34,647,259,176,217,102.48,69.64,85.86
5.375633955,44812,34,646,261,175,215,103.43,69.35,85.2
5.52721405,50204,30,628,257,168,207,104.76,68.48,84.38
5.70182085,47973,28,621,256,165,203,105.53,68.02,83.68
5.866060257,50815,27,620,258,164,202,106.53,67.72,83.41
6.022572279,37603,27,613,257,162,198,107.33,67.65,82.69
6.183148861,37484,26,616,259,162,198,107.64,67.32,82.29
6.345565557,39098,25,614,259,161,197,107.99,67.13,82.14
6.499416828,33344,25,609,259,160,195,108.87,67.26,81.97
6.664561987,36400,25,604,256,158,193,108.5,66.97,81.8
6.813235283,29910,25,602,256,158,192,108.86,67.19,81.65
6.984330177,40035,23,597,254,156,191,108.92,66.89,81.9
7.132717133,40015,23,597,255,156,191,109.35,66.89,81.9
7.299429655,42227,23,594,254,155,190,109.47,66.8,81.89
7.459162951,42198,23,593,253,155,190,109.22,66.91,82.02
