time(s),colorTemp,lux,R,G,B
0.1340799331665039,22151,100,927,328,287,336
0.2946174144744873,22151,100,926,328,287,336
0.44562554359436035,22151,100,927,328,287,336
0.6113293170928955,22151,100,926,328,287,336
0.7638964653015137,22151,100,927,328,287,336
0.9223756790161133,22151,100,927,328,287,336
1.0885460376739502,22151,100,927,328,287,336
1.2325761318206787,22151,100,927,328,287,336
1.4032549858093262,22151,100,927,328,287,336
1.5498030185699463,22901,99,928,328,287,337
1.713893175125122,22151,100,927,328,287,336
1.8829762935638428,22901,99,928,328,287,337
2.0299816131591797,22151,100,928,328,287,336
2.1832783222198486,22034,101,930,329,288,337
2.3461575508117676,22901,99,928,328,287,337
2.5140509605407715,22901,99,928,328,287,337
2.673842430114746,23080,99,923,326,286,336
2.820235013961792,31341,88,879,308,270,325
2.9851152896881104,31686,88,874,305,269,324
3.134880781173706,27944,91,889,312,274,327
3.299264430999756,26089,94,901,317,278,330
3.46147084236145,25962,95,902,317,279,331
3.6163341999053955,29550,90,884,310,272,326
3.7789769172668457,31686,88,874,305,269,324
3.9318222999572754,26497,93,894,314,276,328
4.090872287750244,22151,100,926,328,287,336
4.250856161117554,23343,98,917,324,284,334
4.412701368331909,23478,98,915,323,283,333
4.56452751159668,23343,98,917,324,284,334
4.733588218688965,22390,99,921,326,285,334
4.880055904388428,23191,97,922,327,284,334
5.052838087081909,23293,98,919,325,284,334
5.195418119430542,23293,98,919,325,284,334
5.36727237701416,23616,97,912,322,282,332
5.517165422439575,27648,91,894,315,275,328
5.678898811340332,28154,91,886,311,273,326
5.843408823013306,28154,91,886,311,273,326
5.993108034133911,29550,90,883,310,272,326
6.145158290863037,31341,88,879,308,270,325
6.316336631774902,31614,87,876,307,269,324
6.475294589996338,31614,87,877,307,269,324
6.6276586055755615,30074,89,877,307,270,324
6.781254053115845,31111,89,882,308,271,326
6.949758768081665,35829,82,875,309,265,322
7.112951278686523,38886,78,871,312,262,320
7.25741171836853,38818,73,845,306,253,309
7.429004192352295,38067,72,835,303,250,305
7.588277816772461,38067,72,834,303,250,305
7.748142957687378,37598,73,838,304,251,306
7.903990030288696,39321,73,841,304,252,308
8.063807725906372,39321,73,841,304,252,308
8.211483001708984,35901,76,848,306,255,310
8.379013538360596,33698,77,850,307,256,310
8.529789209365845,33001,78,854,309,258,312
8.694219827651978,30170,79,850,309,257,309
8.8389253616333,31022,79,858,312,259,312
9.013993978500366,29038,80,863,314,261,313
9.168458938598633,28484,81,870,317,263,315
9.331378936767578,26007,82,869,318,263,313
9.4818754196167,27821,80,862,316,260,311
9.649008750915527,26062,83,868,317,263,313
9.79754114151001,26693,81,859,314,260,310
9.956372261047363,27740,81,862,314,261,312
10.123668909072876,28168,80,858,313,259,310
10.275932550430298,27977,81,860,313,260,311
10.43847942352295,27508,82,865,315,262,313
10.587552785873413,27457,81,866,316,262,313
10.747327327728271,25861,83,872,318,264,314
10.913538694381714,25861,83,871,318,264,314
11.060738801956177,25610,83,875,320,265,315
11.23405385017395,24612,84,873,319,265,314
11.393200635910034,25665,84,874,319,265,315
11.541997194290161,25861,83,871,318,264,314
11.69618272781372,26062,83,867,317,263,313
11.86240005493164,27925,80,861,314,260,311
12.017289400100708,29796,79,855,312,258,310
12.168505668640137,27925,80,861,314,260,311
12.328675508499146,26423,81,863,316,261,311
12.502902030944824,26268,82,864,316,262,312
12.65218448638916,28417,79,855,312,258,309
