time(s),colorTemp,lux,R,G,B
0.10271596908569336,26172,84,893,322,268,319
0.25333428382873535,25156,86,892,321,268,318
0.3948242664337158,26027,85,895,322,269,320
0.5686216354370117,26225,85,892,321,268,319
0.720081090927124,25156,86,893,321,268,318
0.8803832530975342,26225,85,893,321,268,319
1.0392885208129883,24975,86,893,322,269,319
1.20438551902771,26027,85,894,322,269,320
1.3555855751037598,24975,86,893,322,269,319
1.5158970355987549,26172,84,893,322,268,319
1.6794867515563965,24975,86,893,322,269,319
1.8359787464141846,26172,84,894,322,268,319
1.9921345710754395,25030,86,891,321,269,319
2.1543755531311035,24854,87,892,322,270,320
2.3014116287231445,24854,87,891,322,270,320
2.4705288410186768,24854,87,895,322,270,320
2.626476764678955,24975,86,892,322,269,319
2.782613754272461,26225,85,894,321,268,319
2.935713768005371,26172,84,895,322,268,319
3.0896830558776855,26374,84,893,321,267,318
3.2564964294433594,25156,86,894,321,268,318
3.40958309173584,25101,85,895,322,268,318
3.5805580615997314,24975,86,895,322,269,319
3.7368392944335938,26172,84,894,322,268,319
3.8867580890655518,24975,86,894,322,269,319
4.051151275634766,24975,86,894,322,269,319
4.205044507980347,24975,86,893,322,269,319
4.372477293014526,24975,86,894,322,269,319
4.524350166320801,26027,85,894,322,269,320
4.689866065979004,24975,86,894,322,269,319
4.849992752075195,26172,84,894,322,268,319
5.009687662124634,24975,86,895,322,269,319
5.158163070678711,24920,86,896,323,269,319
5.3185200691223145,24920,86,895,323,269,319
5.48462986946106,25156,86,892,321,268,318
5.63371467590332,28052,83,884,318,265,317
5.800288200378418,30811,80,870,311,260,313
5.9595253467559814,31409,79,864,309,258,311
6.101808309555054,29017,74,859,317,254,305
6.27170729637146,36561,55,778,304,224,273
6.43480658531189,38452,50,739,292,212,259
6.587119817733765,41242,49,747,296,213,261
6.7500646114349365,39967,47,739,296,210,257
6.907100677490234,39057,46,746,301,211,258
7.05871319770813,38153,46,752,305,212,259
7.225511074066162,38127,45,753,306,212,259
7.369360685348511,33336,47,756,307,214,260
7.544837474822998,33793,46,757,309,213,259
7.704139709472656,33397,48,755,306,214,260
7.8452308177948,33336,47,756,307,214,260
8.006454706192017,38178,46,750,304,212,259
8.179847955703735,35135,50,741,295,212,258
8.335426807403564,39171,48,739,294,211,258
8.495012521743774,39186,49,738,293,211,258
8.653009414672852,39186,49,739,293,211,258
8.810886144638062,39186,49,738,293,211,258
8.970357656478882,39186,49,739,293,211,258
9.130111694335938,35089,49,742,296,212,258
9.285943031311035,35135,50,741,295,212,258
9.437945365905762,38345,48,744,297,212,259
9.589342594146729,38299,47,745,299,212,259
9.756031274795532,34995,49,744,298,212,258
9.911502599716187,34946,48,746,299,212,258
10.07316279411316,34897,48,747,300,212,258
10.235231876373291,34086,47,751,304,213,259
10.389054775238037,33972,47,754,306,213,259
10.547900438308716,30525,48,755,307,214,259
10.711604833602905,33273,47,758,308,214,260
10.873149394989014,30364,47,757,309,214,259
11.017951965332031,29535,49,761,309,216,261
11.190139055252075,30019,49,759,308,215,260
11.347029685974121,29535,49,763,309,216,261
11.502347946166992,28796,51,767,309,218,263
11.652285099029541,29778,50,759,306,216,261
11.821635961532593,30161,52,754,301,216,261
11.972553968429565,33909,51,746,297,214,260
12.13772177696228,34558,50,743,295,213,259
12.287581205368042,36993,50,746,295,214,261
12.45994758605957,37669,50,745,295,213,260
12.615814685821533,33446,52,748,296,215,261
12.775395154953003,32133,51,759,302,217,263
12.922510623931885,27826,53,772,309,221,266
13.0906081199646,27174,55,777,310,223,268
13.250669002532959,28457,54,766,305,220,265
13.407029628753662,32726,51,755,300,216,262
13.567354917526245,37785,45,734,297,208,254
13.72516942024231,41411,42,725,296,204,250
13.877966165542603,40392,42,730,299,205,251
14.035743236541748,36192,42,731,301,205,250
14.200723886489868,34455,42,740,306,207,252
14.357025384902954,39421,43,733,300,206,252
14.515337228775024,34692,44,736,302,207,252
14.675632238388062,27850,46,756,313,213,257
14.823825120925903,29786,46,745,305,210,254
14.995379447937012,30311,45,760,315,213,258
15.152530193328857,28047,47,755,311,213,257
15.307627201080322,28609,46,752,309,212,256
15.4630286693573,28143,47,754,310,213,257
15.622164011001587,28702,47,750,308,212,256
15.780069828033447,28143,47,755,310,213,257
15.941985845565796,28794,47,750,307,212,256
16.105324268341064,31379,46,752,308,212,257
16.261075973510742,30737,46,756,310,213,258
16.42000436782837,28330,48,752,308,213,257
16.58011484146118,27887,48,754,309,214,258
16.73789119720459,30897,47,754,308,213,258
16.892591953277588,28237,47,753,309,213,257
17.04780077934265,28330,48,753,308,213,257
17.200400590896606,28422,48,751,307,213,257
17.367972373962402,28330,48,753,308,213,257
17.52771258354187,28330,48,753,308,213,257
17.690598011016846,28330,48,753,308,213,257
17.84595227241516,31379,46,752,308,212,257
18.00539469718933,31379,46,751,308,212,257
18.158153295516968,28702,47,751,308,212,256
18.324803352355957,28794,47,750,307,212,256
