time(s),Color Temperature,Lux,Clear,Raw Red,Raw Green,Raw Blue,R,G,B
0.2603011131286621,16338,82,780,288,237,271,94.52,77.78,88.94
0.5155167579650879,,83,776,288,237,269,95.01,78.19,88.74
0.7800338268280029,15764,82,775,288,236,269,95.13,77.96,88.86
1.0316534042358398,15232,83,778,288,237,269,94.77,77.98,88.51
1.2909903526306152,25399,66,709,259,212,252,93.52,76.55,90.99
1.5496656894683838,29848,63,693,253,208,250,93.46,76.84,92.35
1.8021981716156006,,255,212,254,92.99,77.31,92.63
2.071403980255127,29848,63,691,253,208,250,93.73,77.06,92.62
2.3416249752044678,31396,63,696,253,209,252,93.06,76.87,92.69
2.5926809310913086,,689,252,206,248,93.63,76.54,92.15
2.8580322265625,29615,60,680,251,203,244,94.49,76.42,91.86
3.1103928089141846,30146,62,693,253,207,249,93.46,76.47,91.98
3.3760390281677246,30204,62,691,252,207,249,93.36,76.69,92.25
3.6276121139526367,31587,59,682,251,203,245,94.22,76.20,91.96
3.8896541595458984,1,199,241,95.90,76.04,92.08
4.15263295173645,31853,47,620,241,181,219,99.51,74.74,90.43
4.412169694900513,34863,41,592,236,171,208,102.05,73.95,89.95
4.676157474517822,35597,40,590,236,170,207,102.40,73.76,89.82
4.932202339172363,37286,38,586,235,168,205,102.66,73.39,89.56
5.184060096740723,33377,39,584,235,168,204,103.01,73.64,89.42
5.443850994110107,32736,40,586,235,169,205,102.66,73.83,89.56
5.708916425704956,34804,40,593,237,171,208,102.31,73.82,89.79
5.970077753067017,33503,44,613,240,178,216,100.23,74.34,90.21
6.234555244445801,34177,49,638,244,187,227,97.91,75.03,91.08
6.497858285903931,35525,43,604,238,175,213,100.87,74.17,90.28
6.755786180496216,610,239,177,216,100.30,74.28,90.65
7.008375406265259,33102,51,625,245,189,229,100.35,77.41,93.80
7.258896112442017,33503,44,611,240,178,216,100.56,74.58,90.50
7.514186382293701,37901,40,597,237,172,210,101.63,73.76,90.05
7.781269311904907,37324,39,584,234,168,205,102.58,73.64,89.86
8.046946287155151,,236,170,207,102.23,73.64,89.66
8.30899453163147,32251,43,603,238,175,212,101.04,74.30,90.00
8.56254529953003,36251,42,602,238,174,212,101.21,73.99,90.15
8.822944641113281,33503,44,613,240,178,216,100.23,74.34,90.21
9.081024408340454,32943,45,615,240,179,217,99.90,74.51,90.33
9.34537935256958,32500,49,632,243,185,224,98.43,74.94,90.73
9.600611209869385,31079,44,605,240,177,214,101.55,74.90,90.55
9.868798732757568,20804,39,561,230,161,191,104.96,73.47,87.16
10.120398044586182,21784,41,574,232,165,196,103.47,73.59,87.41
10.376577138900757,22117,44,592,236,171,203,102.05,73.95,87.78
10.629300832748413,25513,43,604,239,172,206,101.30,72.90,87.31
10.889163255691528,27924,42,605,239,172,207,101.13,72.78,87.59
11.150275707244873,28579,47,631,245,182,219,99.40,73.84,88.85
11.411141633987427,29373,49,639,246,186,224,98.55,74.52,89.74
11.676895380020142,31450,52,657,250,192,232,97.41,74.81,90.40
11.934184789657593,32454,51,652,248,190,230,97.37,74.60,90.31
12.188585042953491,63,250,194,235,96.53,74.91,90.74
12.442120790481567,31879,51,654,250,191,231,97.86,74.76,90.42
12.693390369415283,31870,42,612,243,175,212,101.65,73.20,88.68
12.944399356842041,29058,43,609,242,175,211,101.73,73.56,88.70
13.195083618164062,33202,41,605,241,173,210,101.98,73.20,88.86
13.455109596252441,28652,44,612,242,176,212,101.23,73.62,88.68
13.711655616760254,27815,45,616,243,178,214,100.99,73.97,88.94
13.976600885391235,31092,46,630,245,182,220,99.56,73.96,89.40
14.228803873062134,31092,46,630,245,182,220,99.56,73.96,89.40
14.498659372329712,28855,49,643,248,187,225,98.74,74.45,89.58
14.750969171524048,,187,225,98.58,74.34,89.44
15.00965166091919,28011,54,665,253,195,234,97.40,75.07,90.08
15.27591872215271,29525,51,655,250,191,230,97.71,74.65,89.89
15.531152963638306,29058,43,612,242,175,211,101.23,73.20,88.26
15.790483236312866,29675,38,595,239,168,203,102.83,72.28,87.34
16.04312300682068,27342,42,607,241,173,208,101.64,72.96,87.72
16.294578552246094,30047,41,609,241,173,209,101.31,72.72,87.86
16.569355964660645,27819,42,604,240,172,207,101.72,72.90,87.74
16.82837986946106,3,244,178,215,100.26,73.14,88.35
17.08534002304077,29755,44,627,245,179,216,100.03,73.08,88.19
17.3430655002594,27156,47,619,243,180,216,100.50,74.44,89.33
17.600786924362183,27900,49,629,245,184,221,99.71,74.89,89.95
17.858171701431274,26757,47,618,244,181,217,101.07,74.98,89.89
18.112669467926025,26362,45,604,241,176,211,102.15,74.60,89.43
18.377328634262085,29153,43,603,241,175,211,102.32,74.30,89.58
18.644581079483032,27449,42,598,240,173,208,102.74,74.06,89.04
18.905367851257324,45,607,242,177,212,102.06,74.65,89.41
19.1651930809021,26362,45,604,241,176,211,102.15,74.60,89.43
19.427969694137573,28747,44,605,241,176,212,101.98,74.47,89.71
19.683922052383423,26775,44,601,240,175,210,102.23,74.54,89.45
19.936199426651,27911,45,610,242,178,214,101.56,74.70,89.81
20.196901559829712,26757,47,617,244,181,217,101.24,75.10,90.04
20.45480704307556,27911,45,612,242,178,214,101.23,74.46,89.52
20.72132682800293,28517,50,639,248,188,226,99.36,75.32,90.54
20.982234239578247,,49,629,245,185,222,99.71,75.29,90.35
21.25935459136963,27891,52,644,248,190,228,98.58,75.53,90.63
21.52629280090332,26565,51,637,247,188,225,99.27,75.55,90.42
21.789752960205078,,248,191,229,98.43,75.81,90.89
