time(s),Color Temperature,Lux,Clear,Raw Red,Raw Green,Raw Blue,R,G,B
0.25035619735717773,41564,32,588,243,164,201,105.80,71.40,87.51
0.504746675491333,41564,32,588,243,164,201,105.80,71.40,87.51
0.7615268230438232,41564,32,588,243,164,201,105.80,71.40,87.51
1.028364896774292,50585,31,587,243,163,201,105.98,71.09,87.66
1.29878830909729,50585,31,587,243,163,201,105.98,71.09,87.66
1.5499906539916992,50427,31,586,242,163,201,105.72,71.21,87.81
1.8092799186706543,50427,31,586,242,163,201,105.72,71.21,87.81
2.0674984455108643,50427,31,586,242,163,201,105.72,71.21,87.81
2.3226757049560547,2,163,201,105.54,71.09,87.66
2.584658622741699,50427,31,586,242,163,201,105.72,71.21,87.81
2.8352882862091064,50585,31,587,243,163,201,105.98,71.09,87.66
3.092641592025757,41564,32,588,243,164,201,105.80,71.40,87.51
3.369068145751953,48484,32,588,243,164,202,105.80,71.40,87.95
3.63503098487854,57342,31,590,243,164,203,105.44,71.16,88.08
3.900989294052124,48484,32,590,243,164,202,105.44,71.16,87.65
4.159120798110962,48484,32,589,243,164,202,105.62,71.28,87.80
4.4246985912323,31619,34,583,243,164,199,106.70,72.01,87.38
4.686193466186523,33476,34,634,253,178,224,102.16,71.87,90.45
4.948256492614746,50564,36,615,250,175,216,104.07,72.85,89.91
5.223006725311279,31164,31,578,242,159,193,107.18,70.42,85.48
5.492964267730713,31164,31,579,242,159,193,107.00,70.30,85.33
5.772335767745972,35089,31,583,242,160,195,106.26,70.26,85.63
6.0473244190216064,39530,31,587,243,161,197,105.98,70.21,85.91
6.302119255065918,4033,31,585,243,161,196,106.34,70.45,85.77
6.569330930709839,34033,31,586,243,161,196,106.16,70.33,85.62
6.830096960067749,33151,32,587,243,162,197,105.98,70.65,85.91
7.090850830078125,34033,31,585,243,161,196,106.34,70.45,85.77
7.357896566390991,34033,31,584,243,161,196,106.52,70.58,85.92
7.631720304489136,36704,34,606,248,168,205,104.77,70.97,86.60
7.905249834060669,38933,33,600,247,166,203,105.39,70.83,86.61
8.157562732696533,35750,35,606,248,169,206,104.77,71.39,87.02
8.412435054779053,35750,35,604,248,169,206,105.11,71.63,87.31
8.687835216522217,35689,35,605,249,169,206,105.36,71.51,87.17
8.960236549377441,32289,35,603,248,168,204,105.29,71.32,86.61
9.235522508621216,28657,36,601,248,168,203,105.64,71.56,86.47
9.50092887878418,36000,33,590,244,164,200,105.87,71.16,86.78
9.764429807662964,37791,34,601,247,167,204,105.21,71.13,86.90
10.031850576400757,40814,34,608,249,169,207,104.84,71.16,87.16
10.283130407333374,36651,34,606,249,168,205,105.19,70.97,86.60
10.539496183395386,35689,35,605,249,169,206,105.36,71.51,87.17
10.804577827453613,34018,34,592,246,166,202,106.38,71.78,87.35
11.069447755813599,32383,35,598,247,168,204,105.74,71.92,87.33
11.336496829986572,24548,39,597,249,171,205,106.77,73.33,87.91
11.587850332260132,,249,171,205,106.77,73.33,87.91
11.845936059951782,24548,39,597,249,171,205,106.77,73.33,87.91
12.102089643478394,22307,39,598,249,171,204,106.60,73.20,87.33
12.354848623275757,24842,38,596,249,170,204,106.95,73.02,87.62
12.613389015197754,27596,37,599,249,170,205,106.42,72.65,87.61
12.872564315795898,8,249,170,204,106.60,72.78,87.33
13.130282402038574,27596,37,598,249,170,205,106.60,72.78,87.76
13.395357370376587,27596,37,597,249,170,205,106.77,72.90,87.91
13.654836416244507,22307,39,597,249,171,204,106.77,73.33,87.48
13.906143188476562,22307,39,597,249,171,204,106.77,73.33,87.48
14.162977457046509,22307,39,597,249,171,204,106.77,73.33,87.48
14.414995431900024,22307,39,597,249,171,204,106.77,73.33,87.48
14.67992353439331,24548,39,597,249,171,205,106.77,73.33,87.91
14.931307315826416,20382,40,595,249,171,203,107.13,73.57,87.34
15.198731184005737,20382,40,596,249,171,203,106.95,73.45,87.19
15.468681573867798,22506,38,596,249,170,203,106.95,73.02,87.19
15.722550868988037,22506,38,596,249,170,203,106.95,73.02,87.19
15.985111474990845,20382,40,596,249,171,203,106.95,73.45,87.19
16.250155210494995,22506,38,596,249,170,203,106.95,73.02,87.19
16.500829696655273,22506,38,596,249,170,203,106.95,73.02,87.19
16.76513648033142,22506,38,596,249,170,203,106.95,73.02,87.19
17.02659797668457,,38,596,249,170,203,106.95,73.02,87.19
17.285301685333252,27596,37,599,249,170,205,106.42,72.65,87.61
17.551776885986328,27596,37,599,249,170,205,106.42,72.65,87.61
17.803083658218384,22506,38,597,249,170,203,106.77,72.90,87.05
18.057064533233643,22506,38,595,249,170,203,107.13,73.14,87.34
18.314202547073364,22506,38,595,249,170,203,107.13,73.14,87.34
18.575623273849487,22506,38,595,249,170,203,107.13,73.14,87.34
18.839175939559937,22506,38,595,249,170,203,107.13,73.14,87.34
19.100785732269287,06,38,596,249,170,203,106.95,73.02,87.19
19.366917610168457,22506,38,596,249,170,203,106.95,73.02,87.19
19.631158113479614,22650,39,597,248,170,203,106.35,72.90,87.05
19.88953948020935,22650,39,595,248,170,203,106.70,73.14,87.34
20.156787395477295,31364,38,581,244,170,206,107.51,74.91,90.77
20.407784461975098,27773,39,581,244,171,206,107.51,75.35,90.77
20.671969890594482,27773,39,581,244,171,206,107.51,75.35,90.77
20.949766159057617,27773,39,581,244,171,206,107.51,75.35,90.77
21.21461009979248,27773,39,582,244,171,206,107.33,75.22,90.61
21.46650195121765,27773,39,581,244,171,206,107.51,75.35,90.77
21.747462511062622,27773,39,581,244,171,206,107.51,75.35,90.77
22.006293058395386,27773,39,582,244,171,206,107.33,75.22,90.61
22.26740598678589,27773,39,582,244,171,206,107.33,75.22,90.61
22.525326251983643,45832,39,611,250,178,219,104.75,74.58,91.76
22.805968523025513,252,174,215,102.89,71.04,87.78
23.064650297164917,33687,46,617,253,187,227,104.97,77.59,94.18
23.329822540283203,48994,43,628,256,188,232,104.36,76.64,94.57
23.595521211624146,,188,232,104.36,76.64,94.57
23.848586559295654,48994,43,628,256,188,232,104.36,76.64,94.57
24.129825115203857,48994,43,628,256,188,232,104.36,76.64,94.57
24.380873441696167,48994,43,628,256,188,232,104.36,76.64,94.57
24.64680814743042,48994,43,628,256,188,232,104.36,76.64,94.57
24.914010286331177,43968,44,626,255,188,231,104.28,76.88,94.47
25.180810928344727,94,43,628,256,188,232,104.36,76.64,94.57
25.449220418930054,48994,43,629,256,188,232,104.19,76.52,94.42
25.71224093437195,48908,44,627,255,188,232,104.11,76.76,94.72
25.974814891815186,143,46,623,255,188,229,104.78,77.25,94.10
26.231601238250732,39759,45,624,255,188,230,104.62,77.13,94.36
26.495606184005737,39759,45,625,255,188,230,104.45,77.00,94.21
26.765686750411987,36143,46,623,255,188,229,104.78,77.25,94.10
27.04190993309021,39759,45,623,255,188,230,104.78,77.25,94.51
27.314101934432983,43968,44,625,255,188,231,104.45,77.00,94.62
27.57629895210266,,44,626,255,188,231,104.28,76.88,94.47
27.83892011642456,43968,44,626,255,188,231,104.28,76.88,94.47
28.10970115661621,39759,45,625,255,188,230,104.45,77.00,94.21
28.364590883255005,34940,45,614,252,185,225,105.07,77.13,93.81
28.635143518447876,43968,44,629,255,188,231,103.78,76.52,94.02
28.901628732681274,45091,44,626,255,187,230,104.28,76.47,94.06
29.163783073425293,37621,44,622,254,186,227,104.54,76.55,93.43
29.416121244430542,60736,40,632,255,185,230,103.29,74.94,93.16
29.68002223968506,51883,42,634,255,186,230,102.97,75.10,92.87
29.94347047805786,58559,41,635,255,186,231,102.80,74.99,93.13
30.203134298324585,58559,41,635,255,186,231,102.80,74.99,93.13
30.46523904800415,5,186,231,102.80,74.99,93.13
30.718220949172974,11526,39,637,256,186,233,102.88,74.75,93.64
30.98120927810669,28188,34,548,235,159,192,109.78,74.28,89.69
31.244547128677368,28720,33,546,235,158,191,110.18,74.08,89.55
31.51153802871704,28720,33,546,235,158,191,110.18,74.08,89.55
31.76562237739563,28720,33,546,235,158,191,110.18,74.08,89.55
32.03311729431152,26409,32,542,234,156,188,110.52,73.68,88.80
32.30114269256592,25983,33,542,234,157,189,110.52,74.15,89.27
32.56113052368164,25983,33,542,234,157,189,110.52,74.15,89.27
32.81633734703064,23583,33,540,233,156,187,110.46,73.96,88.65
33.07901573181152,23583,33,541,233,156,187,110.26,73.82,88.49
33.342021465301514,20771,34,543,234,157,187,110.32,74.02,88.16
33.60002398490906,23141,34,545,234,157,188,109.92,73.75,88.31
33.85054874420166,23141,34,545,234,157,188,109.92,73.75,88.31
34.1014506816864,23141,34,545,234,157,188,109.92,73.75,88.31
34.36680006980896,23141,34,543,234,157,188,110.32,74.02,88.63
34.62125778198242,23141,34,544,234,157,188,110.12,73.88,88.47
34.8812792301178,30764,31,550,234,155,188,108.92,72.15,87.51
35.14741635322571,27027,32,549,233,155,187,108.65,72.28,87.20
35.41709351539612,,549,233,155,187,108.65,72.28,87.20
35.66741442680359,26872,31,549,234,155,187,109.11,72.28,87.20
35.94957756996155,26872,31,549,234,155,187,109.11,72.28,87.20
36.21547317504883,2,549,233,155,187,108.65,72.28,87.20
36.466179847717285,26872,31,549,234,155,187,109.11,72.28,87.20
36.73355007171631,27535,31,547,233,154,186,109.05,72.07,87.05
