time(s),Color Temperature,Lux,Clear,Raw Red,Raw Green,Raw Blue,R,G,B
0.2606024742126465,6134,85,692,289,215,218,106.91,79.54,80.65
0.5162413120269775,6166,85,688,287,214,217,106.79,79.63,80.74
0.7806813716888428,6281,84,686,286,213,217,106.73,79.49,80.98
1.0396361351013184,6166,85,688,287,214,217,106.79,79.63,80.74
1.298985481262207,6166,85,687,287,214,217,106.95,79.74,80.86
1.5751535892486572,,206,213,106.09,79.18,81.87
1.830296516418457,7822,74,652,268,201,213,105.23,78.92,83.63
2.0892748832702637,8790,68,637,262,195,211,105.29,78.37,84.80
2.347395181655884,,648,267,200,212,105.48,79.01,83.75
2.601022958755493,8519,70,642,264,197,212,105.27,78.55,84.54
2.8640244007110596,8519,70,643,264,197,212,105.11,78.43,84.40
3.1366748809814453,8519,70,643,264,197,212,105.11,78.43,84.40
3.3970508575439453,8451,69,643,265,197,212,105.51,78.43,84.40
3.6652770042419434,8201,70,646,266,198,212,105.41,78.46,84.01
3.9314095973968506,9615,62,634,259,190,209,104.58,76.72,84.39
4.197970867156982,9977,62,638,260,191,211,104.33,76.64,84.66
4.465223789215088,7457,69,649,267,195,207,105.32,76.92,81.65
4.732934236526489,8132,64,636,261,189,204,105.06,76.08,82.11
4.984140634536743,7808,65,639,263,190,204,105.36,76.12,81.73
5.247084379196167,7372,68,646,266,193,205,105.41,76.48,81.24
5.517509460449219,7643,66,640,263,191,204,105.20,76.40,81.60
5.782492399215698,7426,68,643,264,192,204,105.11,76.44,81.22
6.046393871307373,8045,62,631,260,187,202,105.48,75.87,81.95
6.304173231124878,8627,60,630,259,186,203,105.24,75.58,82.49
6.565246343612671,9225,58,630,259,185,204,105.24,75.17,82.90
6.829871892929077,1,628,259,186,202,105.58,75.82,82.34
7.081156969070435,9036,60,631,258,186,204,104.67,75.46,82.76
7.331731081008911,9225,58,630,259,185,204,105.24,75.17,82.90
7.583384275436401,8954,60,632,259,186,204,104.91,75.34,82.63
7.865009307861328,8627,60,630,259,186,203,105.24,75.58,82.49
8.131594896316528,8954,60,629,259,186,204,105.41,75.70,83.03
8.39407229423523,8793,65,647,265,194,211,104.85,76.76,83.49
8.661604166030884,9166,67,660,269,199,217,104.34,77.19,84.17
8.915233135223389,9511,64,646,264,194,213,104.62,76.88,84.41
9.185636520385742,8867,67,654,267,197,214,104.51,77.11,83.77
9.450315475463867,9099,66,652,267,196,214,104.83,76.96,84.02
9.702073812484741,9822,61,637,261,190,210,104.89,76.36,84.40
9.964041948318481,9522,63,640,262,192,211,104.80,76.80,84.40
10.219348430633545,9831,60,633,260,189,209,105.15,76.44,84.52
10.474543571472168,9108,63,637,262,191,209,105.29,76.76,83.99
10.738014459609985,8504,66,644,265,194,210,105.34,77.12,83.48
10.994304418563843,8867,66,645,264,194,211,104.78,77.00,83.75
11.269578218460083,9102,65,646,265,194,212,105.02,76.88,84.01
11.523904085159302,8716,64,644,264,192,209,104.94,76.32,83.08
11.788690090179443,262,190,209,105.13,76.24,83.86
12.052922487258911,8793,65,648,265,194,211,104.69,76.64,83.36
12.303817987442017,7998,69,653,268,197,211,105.07,77.23,82.72
12.567461967468262,8793,65,647,265,194,211,104.85,76.76,83.49
12.818693161010742,8242,68,652,267,196,211,104.83,76.96,82.85
13.101015329360962,9106,63,643,263,192,210,104.71,76.44,83.61
13.358129501342773,9108,63,639,262,191,209,104.96,76.52,83.73
13.62846851348877,9372,61,639,262,190,209,104.96,76.12,83.73
13.881444692611694,11985,66,676,272,205,230,103.01,77.63,87.10
14.145807027816772,11502,66,674,271,203,227,102.93,77.10,86.22
14.408257722854614,12642,68,669,271,207,233,103.70,79.21,89.16
14.667211532592773,11476,66,674,272,204,228,103.31,77.48,86.60
14.932124614715576,10232,71,683,276,208,229,103.45,77.96,85.83
15.200746774673462,10620,69,678,274,206,228,103.46,77.78,86.09
15.452290534973145,76,208,229,103.30,77.85,85.71
15.71090841293335,9563,74,690,279,211,230,103.51,78.28,85.33
15.974750995635986,9831,75,681,275,211,230,103.38,79.32,86.46
16.238778114318848,9568,73,688,278,210,229,103.44,78.14,85.21
16.492999792099,9887,72,686,277,209,229,103.37,77.99,85.46
16.75105094909668,9957,72,685,276,209,229,103.15,78.11,85.58
17.0030677318573,9879,72,689,278,210,230,103.29,78.03,85.46
17.266815662384033,8865,78,695,280,214,230,103.14,78.83,84.72
17.530498504638672,57,72,686,276,209,229,103.00,77.99,85.46
17.79233169555664,9636,73,687,277,210,229,103.22,78.25,85.33
18.050758123397827,9400,76,690,278,212,230,103.14,78.66,85.33
18.321462869644165,9630,74,690,278,211,230,103.14,78.28,85.33
18.581645011901855,8804,78,700,282,215,231,103.13,78.63,84.48
18.839216232299805,9636,73,688,277,210,229,103.07,78.14,85.21
19.10352063179016,9335,75,692,279,212,230,103.21,78.43,85.09
19.36639976501465,9404,75,689,277,211,229,102.92,78.40,85.09
19.629452228546143,9636,73,688,277,210,229,103.07,78.14,85.21
19.895503997802734,9630,74,690,278,211,230,103.14,78.28,85.33
20.163227319717407,9636,73,688,277,210,229,103.07,78.14,85.21
20.415560007095337,9400,76,692,278,212,230,102.84,78.43,85.09
20.669078826904297,9636,73,688,277,210,229,103.07,78.14,85.21
20.931511402130127,8326,78,693,279,212,226,103.06,78.31,83.49
21.199123859405518,9948,73,690,277,210,230,102.77,77.91,85.33
21.460006952285767,8328,70,662,270,200,215,104.41,77.34,83.14
21.732523202896118,8247,68,654,268,197,212,104.91,77.11,82.98
22.00704288482666,7779,71,657,270,199,212,105.21,77.54,82.61
22.26832675933838,9291,61,638,263,190,209,105.53,76.24,83.86
22.535248517990112,9031,62,637,262,190,208,105.29,76.36,83.59
22.789958477020264,9031,62,638,262,190,208,105.13,76.24,83.46
23.053459882736206,8500,65,643,264,193,209,105.11,76.84,83.21
23.334722995758057,8156,66,642,265,193,208,105.67,76.96,82.94
23.613885164260864,9381,60,631,260,188,207,105.48,76.27,83.98
23.878559112548828,9381,60,631,260,188,207,105.48,76.27,83.98
24.13170552253723,8715,63,638,263,191,208,105.53,76.64,83.46
24.394346952438354,9032,62,633,261,189,207,105.55,76.44,83.72
24.650141954421997,9377,61,633,261,189,208,105.55,76.44,84.12
24.90202784538269,9112,62,633,260,189,207,105.15,76.44,83.72
25.172322273254395,9298,60,633,261,188,207,105.55,76.03,83.72
25.437724590301514,8713,63,636,262,190,207,105.46,76.48,83.32
25.698413133621216,8715,63,638,263,191,208,105.53,76.64,83.46
25.951693296432495,8715,63,639,263,191,208,105.36,76.52,83.33
26.22309398651123,8051,68,646,265,195,209,105.02,77.28,82.82
26.47787570953369,5,261,190,207,105.22,76.60,83.45
26.73196816444397,9031,62,638,262,190,208,105.13,76.24,83.46
26.985042572021484,9032,62,634,261,189,207,105.39,76.32,83.58
27.24248170852661,9377,61,635,261,189,208,105.22,76.20,83.86
27.500020742416382,8715,63,638,263,191,208,105.53,76.64,83.46
27.764355182647705,3,265,193,209,105.51,76.84,83.21
28.017284631729126,8791,64,638,262,191,208,105.13,76.64,83.46
28.2887179851532,9377,61,634,261,189,208,105.39,76.32,83.99
28.562292337417603,8428,65,644,265,193,209,105.34,76.72,83.08
28.828298330307007,8428,65,642,265,193,209,105.67,76.96,83.34
29.085582494735718,8715,63,639,263,191,208,105.36,76.52,83.33
29.345078706741333,7698,69,653,269,197,210,105.46,77.23,82.33
29.60983371734619,8424,65,641,264,192,208,105.44,76.68,83.07
29.86292576789856,8428,65,643,265,193,209,105.51,76.84,83.21
30.122304677963257,7984,68,647,266,195,209,105.25,77.16,82.70
30.381644248962402,8715,63,640,263,191,208,105.20,76.40,83.20
30.63552951812744,66,195,209,104.76,76.80,82.31
30.911859035491943,7754,69,649,267,196,209,105.32,77.31,82.44
31.192585945129395,7762,70,652,268,197,210,105.23,77.35,82.45
31.452459812164307,7916,68,649,267,195,209,105.32,76.92,82.44
31.706016302108765,7754,69,649,267,196,209,105.32,77.31,82.44
31.967190742492676,7984,68,648,266,195,209,105.09,77.04,82.57
32.23145270347595,7916,68,649,267,195,209,105.32,76.92,82.44
32.50151705741882,7762,70,652,268,197,210,105.23,77.35,82.45
32.752811670303345,8058,69,649,266,196,210,104.92,77.31,82.84
33.00591039657593,7621,72,656,269,199,211,104.98,77.66,82.34
33.266902923583984,7998,69,655,268,197,211,104.75,77.00,82.47
33.53910779953003,7754,69,649,267,196,209,105.32,77.31,82.44
33.79804444313049,7827,70,653,267,197,210,104.67,77.23,82.33
