input,Color Temperature,Lux,Clear,Raw Red,Raw Green,Raw Blue,R,G,B
test,3667,1288,5096,2018,1810,1247,101.38,90.93,62.64
test2,3669,1293,5112,2023,1816,1251,101.31,90.94,62.65
clear data,18170,73,764,283,227,263,94.83,76.06,88.13
jostle1,15919,59,704,276,204,236,100.36,74.18,85.82
jostle2,17608,76,778,289,232,268,95.10,76.34,88.19
jostle3,17663,68,744,282,219,254,97.03,75.35,87.40
settle4,18301,79,787,288,236,273,93.68,76.77,88.80
jostle5,13669,73,715,275,216,244,98.46,77.34,87.36
jostle6,12436,75,706,272,215,240,98.63,77.96,87.03
replaced,16371,97,830,304,263,299,93.76,81.12,92.22
replaced2,78,287,237,272,94.44,77.98,89.50
replaced3,20902,81,792,291,243,284,94.06,78.55,91.80
nothing4,20414,84,805,294,248,289,93.50,78.87,91.91
replaced5,16093,77,759,283,229,262,95.45,77.24,88.37
red1,25868,39,665,287,191,230,110.48,73.53,88.54
jostled2,669,287,192,231,109.82,73.47,88.39
settle2,28143,39,669,288,192,232,110.21,73.47,88.78
jostle3,20012,28,614,268,165,198,111.74,68.79,82.55
settle3,,270,165,198,112.39,68.68,82.42
settle3,16751,29,617,271,166,198,112.44,68.88,82.15
blue+red,7,844,234,143,168,11.36,83.84
settle1,10779,28,513,234,144,168,116.77,71.86,83.84
jostle1,10829,27,510,233,143,167,116.96,71.78,83.83
jostle2,10829,27,511,233,143,167,116.73,71.64,83.66
jostle3,3,142,167,116.96,71.28,83.83
jostle3,11938,26,510,233,142,167,116.96,71.28,83.83
settle3,11688,25,511,234,142,167,117.23,71.14,83.66
red+green+blue,27,229,145,174,111.24,70.44,84.52
settle,21631,27,527,229,145,174,111.24,70.44,84.52
settle,21631,27,527,229,145,174,111.24,70.44,84.52
what,21631,27,528,229,145,174,111.03,70.30,84.36
the,21631,27,527,229,145,174,111.24,70.44,84.52
fuck,21631,27,527,229,145,174,111.24,70.44,84.52
