time(s),value
0.26672840118408203,3.09
0.5234513282775879,3.09
0.783959150314331,3.09
1.0468814373016357,3.05
1.3088970184326172,3.05
1.5629773139953613,3.09
1.8280112743377686,3.13
2.087754249572754,3.05
2.3435072898864746,3.05
2.5985007286071777,3.05
2.864468574523926,3.05
3.1318585872650146,0.15
3.390129804611206,0.23
3.6443119049072266,0.23
3.9058351516723633,3.13
4.1607959270477295,3.02
4.424090623855591,3.09
4.687155246734619,1.53
4.952214479446411,1.68
5.204615354537964,3.05
5.468510627746582,3.05
5.722334146499634,3.05
5.9923388957977295,2.83
6.251103401184082,0.84
6.515554666519165,0.84
6.767992258071899,3.13
7.0348405838012695,3.09
7.2877256870269775,3.09
7.554167747497559,3.05
7.809729337692261,3.09
8.070552110671997,3.13
8.325855016708374,3.09
8.586049795150757,3.09
8.838526010513306,3.13
9.094102144241333,3.05
9.345264434814453,3.09
9.603140592575073,3.13
9.856154203414917,3.09
10.117051601409912,3.09
10.37195873260498,3.09
10.638236045837402,3.09
10.892608642578125,3.09
11.15781307220459,3.13
11.419484615325928,3.09
11.678164005279541,3.13
11.944695472717285,3.13
12.213228225708008,3.09
12.466453075408936,3.09
12.732440710067749,3.09
12.989750623703003,3.09
13.242258310317993,3.05
13.501848220825195,3.13
13.769969463348389,3.13
14.021194696426392,3.09
14.285579919815063,3.05
14.538411378860474,3.09
14.79686450958252,3.05
15.053423643112183,3.13
15.317886590957642,3.05
15.577474355697632,3.05
15.833726406097412,3.09
16.09599542617798,3.09
16.358680486679077,3.13
16.61255955696106,3.13
16.873740911483765,3.09
17.130382776260376,3.09
17.38652014732361,3.13
17.650391817092896,3.13
17.90689754486084,3.05
18.172184705734253,3.09
18.439276218414307,3.09
18.70418643951416,3.13
18.96029043197632,3.09
19.225541353225708,3.09
19.483665704727173,3.09
19.74571204185486,3.13
20.002057552337646,3.13
20.26339340209961,3.13
20.526244640350342,
20.786614894866943,3.13
21.051823377609253,3.13
21.30885601043701,3.13
21.560647010803223,3.05
21.81197237968445,3.13
22.076351165771484,3.05
22.327001333236694,3.05
