time(s),colorTemp,lux,R,G,B
0.10680723190307617,41855,86,917,315,278,341
0.23899126052856445,41667,85,905,312,274,336
0.3990597724914551,35511,75,827,291,247,300
0.5576374530792236,34549,71,797,281,235,285
0.7141046524047852,32595,68,781,279,230,278
0.8738257884979248,30583,70,783,278,231,278
1.0261778831481934,31158,69,779,278,229,276
1.189429521560669,31826,67,772,277,227,274
1.349266529083252,31303,72,793,280,234,282
1.5088286399841309,31365,65,762,275,223,269
1.651521921157837,30533,70,785,279,231,278
1.8243041038513184,32487,63,753,273,220,266
1.9839718341827393,31904,70,788,280,232,280
2.14308762550354,32858,63,750,273,219,265
2.2918193340301514,29695,72,792,280,234,281
2.454261541366577,30880,63,751,273,219,264
2.6141388416290283,30865,70,781,278,230,277
2.774164915084839,30880,63,749,273,219,264
2.9340550899505615,30865,70,780,278,230,277
3.093937873840332,30567,64,751,273,220,265
3.249871015548706,31510,68,777,277,228,275
3.4093925952911377,30567,64,751,273,220,265
3.5692498683929443,30125,68,771,276,227,273
3.728729009628296,30267,65,753,273,221,266
3.8847272396087646,30405,68,767,276,226,272
4.0441505908966064,29923,66,756,274,222,267
4.203832626342773,30405,68,767,276,226,272
4.358812093734741,31557,68,773,276,228,275
4.51919960975647,33420,63,744,269,218,264
4.672618627548218,36529,64,753,270,221,269
4.834776878356934,37926,65,758,270,223,272
4.994415998458862,39597,63,750,267,220,269
5.154205799102783,41455,61,740,265,217,266
5.313904762268066,46053,60,733,262,215,265
5.46961522102356,46876,59,731,261,214,264
5.6292338371276855,49691,57,723,260,211,261
5.788840293884277,48639,56,714,258,208,257
5.944478750228882,47621,54,707,257,205,253
6.104437828063965,45643,53,700,257,203,250
6.2620849609375,49756,53,702,257,203,251
6.423344850540161,46612,53,698,257,202,249
6.579569339752197,47586,52,696,256,201,248
6.73900294303894,43661,53,695,256,201,247
6.898949146270752,48673,51,694,256,200,247
7.054474592208862,46612,53,698,257,202,249
7.214052200317383,46565,53,698,256,202,249
7.368607044219971,49756,53,702,257,203,251
7.529944181442261,48656,54,703,257,204,252
7.68169093132019,45643,53,700,257,203,250
7.842914581298828,43661,53,695,256,201,247
8.00864315032959,49756,53,702,257,203,251
8.163963317871094,48656,54,704,257,204,252
8.323684692382812,45605,54,699,256,203,250
8.477018117904663,48656,54,702,257,204,252
8.634814500808716,45643,53,701,257,203,250
8.791807651519775,47586,52,696,256,201,248
8.951188564300537,48673,51,693,256,200,247
9.11385726928711,47586,52,696,256,201,248
9.273955583572388,47586,52,695,256,201,248
9.433454513549805,47586,52,696,256,201,248
9.593904972076416,48673,51,695,256,200,247
9.749789714813232,47586,52,695,256,201,248
9.90933084487915,47586,52,695,256,201,248
10.0655837059021,47586,52,696,256,201,248
10.223949909210205,47586,52,696,256,201,248
10.384748220443726,47586,52,695,256,201,248
10.539578676223755,47586,52,696,256,201,248
10.69983696937561,47586,52,696,256,201,248
10.859864234924316,47586,52,696,256,201,248
11.019068479537964,47586,52,696,256,201,248
11.179085493087769,47586,52,696,256,201,248
11.334718942642212,47586,52,696,256,201,248
11.494611978530884,47586,52,696,256,201,248
11.654134511947632,47586,52,696,256,201,248
11.809974193572998,47586,52,696,256,201,248
11.969690084457397,47586,52,696,256,201,248
12.129411697387695,47586,52,697,256,201,248
