time(s),colorTemp,lux,R,G,B
0.18158173561096191,26134,92,855,302,268,318
0.3405883312225342,25163,92,853,302,268,317
0.4934110641479492,26134,92,855,302,268,318
0.6566963195800781,25163,92,853,302,268,317
0.8152451515197754,26269,91,854,302,267,317
0.9727048873901367,25163,92,853,302,268,317
1.126760721206665,25163,92,854,302,268,317
1.2912051677703857,25163,92,853,302,268,317
1.451019525527954,26269,91,853,302,267,317
1.6067652702331543,25048,93,854,302,269,318
1.7660791873931885,26269,91,854,302,267,317
1.9201281070709229,24248,93,853,302,268,316
2.082092523574829,26269,91,854,302,267,317
2.241751194000244,25163,92,853,302,268,317
2.4009413719177246,25163,92,855,302,268,317
2.560070514678955,25163,92,853,302,268,317
2.7164523601531982,25280,92,853,302,267,316
2.876525640487671,25163,92,853,302,268,317
3.032435894012451,26269,91,854,302,267,317
3.192067861557007,25163,92,853,302,268,317
3.3444511890411377,26269,91,854,302,267,317
3.5112216472625732,25163,92,852,302,268,317
3.666273593902588,26269,91,854,302,267,317
3.8217897415161133,25212,93,852,301,268,317
3.9859867095947266,26269,91,853,302,267,317
4.1454246044158936,25163,92,852,302,268,317
4.301832914352417,25280,92,853,302,267,316
4.4615466594696045,25163,92,853,302,268,317
4.613712310791016,25280,92,853,302,267,316
4.772045612335205,25163,92,852,302,268,317
4.9330055713653564,25330,92,853,301,267,316
5.093558311462402,25212,93,852,301,268,317
5.251917123794556,25330,92,853,301,267,316
5.408868789672852,26317,91,852,301,267,317
5.570485591888428,24170,90,837,298,262,309
5.730671405792236,23614,85,808,293,252,297
5.882075548171997,22670,87,808,292,253,297
6.045770168304443,21824,87,806,292,253,296
6.205587863922119,20448,89,801,290,252,293
6.361636161804199,19793,90,799,289,252,292
6.516788959503174,18540,91,797,288,252,290
6.681195259094238,18221,89,782,285,247,284
6.82943320274353,18591,84,765,282,240,277
6.99185848236084,18748,82,758,281,237,274
7.156269073486328,18716,83,759,281,238,275
7.3074047565460205,18150,82,754,280,236,272
7.46886682510376,18174,81,751,280,235,271
7.626957893371582,17494,83,752,280,236,271
7.790871858596802,17576,82,748,279,235,270
7.9462504386901855,17560,83,750,279,236,271
