time(s),colorTemp,lux,R,G,B,
0.104129791,40931,60,857,281,245,321
0.272077084,59266,60,861,281,246,323
0.428257465,9729,59,859,281,245,322
0.587495565,59266,60,860,281,246,323
0.747731686,28015,61,859,281,246,322
0.907130241,59266,60,859,281,246,323
1.04740572,9729,59,859,281,245,322
1.222677708,9729,59,858,281,245,322
1.382395506,59266,60,859,281,246,323
1.529572248,40931,60,858,281,245,321
1.697613239,40931,60,857,281,245,321
1.857328176,9729,59,858,281,245,322
2.012466192,63783,61,855,281,244,318
2.162280798,51671,59,859,281,245,323
2.332840443,24112,60,857,281,244,319
2.480855227,9729,59,858,281,245,322
2.647482395,28015,61,859,281,246,322
2.807585478,40931,60,857,281,245,321
2.967506886,40931,60,859,281,245,321
3.123464346,59266,60,860,281,246,323
3.282353163,40931,60,858,281,245,321
3.442680359,59266,60,859,281,246,323
3.598502398,9729,59,858,281,245,322
3.74627161,9729,59,859,281,245,322
3.917672873,9729,59,858,281,245,322
4.073533773,9729,59,858,281,245,322
4.221801281,5637,58,850,281,243,319
4.385220766,8555,57,811,278,233,300
4.542758226,36523,58,798,278,230,293
4.701263666,55940,57,803,278,231,296
4.860690594,47881,57,800,278,230,294
5.027780533,30012,58,796,278,229,291
5.186709166,23964,58,793,278,228,289
5.343142033,30489,56,789,278,226,287
5.502652407,20654,57,787,277,226,286
5.662516117,15205,57,784,277,225,284
5.802879095,29842,56,789,277,226,287
5.977552891,23633,56,786,277,225,285
6.137211323,23633,56,786,277,225,285
6.293356419,20654,57,787,277,226,286
6.452763557,20654,57,787,277,226,286
6.600960016,23633,56,785,277,225,285
6.772458553,15205,57,784,277,225,284
6.928260088,7914,58,784,277,225,283
7.081943989,17872,56,782,277,224,283
7.247578382,10137,57,782,277,224,282
7.403403759,3430,57,780,277,224,281
7.560774565,7914,58,783,277,225,283
7.715378046,7914,58,783,277,225,283
7.878689528,12725,58,786,277,226,285
8.038234949,7914,58,784,277,225,283
8.194288731,20654,57,788,277,226,286
8.346138,20654,57,788,277,226,286
8.513235331,27102,57,790,278,227,288
8.673181534,26771,59,797,278,230,292
8.829242945,26771,59,798,278,230,292
8.988552094,10762,58,789,278,227,286
9.132819891,10762,58,789,278,227,286
9.300883532,8570,59,790,278,228,287
9.463747501,18341,59,797,278,230,291
9.623267412,18341,59,797,278,230,291
9.782517433,15814,60,798,278,231,292
9.94271493,21052,58,795,278,229,290
10.09859896,15726,58,793,278,228,288
10.25801611,13287,59,794,278,229,289
10.4176054,18341,59,798,278,230,291
10.57371449,26771,59,799,278,230,292
10.72800422,15814,60,799,278,231,292
10.89284158,16221,60,800,279,231,292
11.04874325,21429,60,803,279,232,294
11.20854712,29738,61,811,279,235,299
11.3586781,57830,61,824,280,239,307
11.523803,6029,60,826,280,239,308
11.68365932,62821,60,823,280,238,306
11.84283447,25637,61,832,280,241,312
12.00278187,15458,61,830,280,240,310
12.15873599,6029,60,827,280,239,308
12.31832886,15458,61,830,280,240,310
12.47802997,33038,60,830,280,240,311
12.63399339,48534,61,840,280,243,316
12.78804517,59579,60,860,281,249,329
12.95320463,26934,61,875,282,254,338
13.11280179,51219,62,890,282,259,348
13.26876545,65458,63,903,283,263,355
13.41328335,54621,63,925,284,270,369
13.58053851,640,65,941,284,275,378
13.74384451,53624,67,975,286,287,400
13.89075804,62046,64,923,284,269,366
14.06230927,16289,65,947,285,277,382
14.22282362,51579,67,965,286,284,393
14.37866759,41270,68,976,286,287,399
14.53810549,46678,69,978,286,289,402
14.69397068,1559,67,955,285,281,387
14.85374546,32839,66,973,286,286,399
15.01300764,7092,69,1011,288,299,422
15.15714264,47740,68,984,287,291,407
15.3322258,54016,67,1003,287,295,417
15.47837591,46384,66,1044,289,306,441
15.64818621,35968,70,1040,289,307,437
15.80785131,6248,69,1029,289,304,432
15.96319938,1104,70,1007,288,297,417
16.11432028,23400,67,1002,287,295,416
16.28302097,6558,70,1001,287,295,413
16.43871069,0,70,1053,290,313,450
16.59810996,55936,68,1048,289,308,443
16.75727129,40796,74,1048,290,313,445
16.91373539,0,70,1054,290,314,452
17.07316685,47264,77,1050,290,316,447
17.22798419,0,73,1063,290,318,457
17.39301443,18520,69,1067,290,317,460
17.5521152,39616,73,1056,290,315,450
17.70784664,11760,73,1016,289,302,423
17.86720324,15960,69,1025,289,302,428
18.02786231,22288,69,1083,291,323,472
18.18327093,26240,71,1031,289,305,432
