time(s),colorTemp,lux,R,G,B
0.10264468193054199,18850,89,852,311,260,301
0.22515654563903809,19573,87,852,311,259,301
0.3918941020965576,19573,87,851,311,259,301
0.5473694801330566,19573,87,852,311,259,301
0.7003078460693359,19635,87,851,310,259,301
0.8672311305999756,19573,87,852,311,259,301
1.0267491340637207,19635,87,851,310,259,301
1.1779553890228271,18850,89,853,311,260,301
1.3419814109802246,19635,87,851,310,259,301
1.4995465278625488,18850,89,853,311,260,301
1.6573100090026855,18943,88,850,310,259,300
1.8087189197540283,18850,89,853,311,260,301
1.974405288696289,18943,88,850,310,259,300
2.129427671432495,18850,89,853,311,260,301
2.292959213256836,19635,87,850,310,259,301
2.4520442485809326,19573,87,852,311,259,301
2.6115028858184814,21029,84,836,304,254,297
2.76810359954834,27476,76,801,289,242,289
2.927835464477539,29398,74,796,287,240,288
3.086566925048828,29398,74,796,287,240,288
3.240006923675537,28032,75,794,286,240,287
3.402015447616577,29398,74,796,287,240,288
3.561720132827759,27724,76,797,288,241,288
3.720954179763794,23631,81,823,298,249,294
3.8731725215911865,21156,84,832,303,253,296
4.037007093429565,20602,86,846,308,257,300
4.197180509567261,19635,87,850,310,259,301
4.352782726287842,18850,89,852,311,260,301
4.511943817138672,18850,89,852,311,260,301
4.672562599182129,18850,89,852,311,260,301
4.828274250030518,18850,89,853,311,260,301
4.987818241119385,18850,89,852,311,260,301
5.14689826965332,18850,89,852,311,260,301
5.307132005691528,18850,89,851,311,260,301
5.463075160980225,19533,88,853,311,260,302
5.621718883514404,19573,87,851,311,259,301
5.774543523788452,18850,89,853,311,260,301
5.937378406524658,19573,87,851,311,259,301
6.097987174987793,18850,89,853,311,260,301
6.253970384597778,19573,87,851,311,259,301
6.41303014755249,18850,89,852,311,260,301
6.572050094604492,19573,87,851,311,259,301
6.7278149127960205,18850,89,852,311,260,301
6.876993417739868,19573,87,851,311,259,301
7.032703399658203,18850,89,852,311,260,301
7.204362630844116,19573,87,851,311,259,301
7.367473363876343,19635,87,850,310,259,301
7.523364067077637,20721,85,843,307,256,299
7.682378053665161,22360,82,827,300,251,295
7.842150688171387,25515,78,810,293,245,291
7.997500658035278,27235,77,804,290,243,290
8.157990455627441,27476,76,801,289,242,289
8.317696332931519,27476,76,801,289,242,289
8.473825454711914,24970,66,764,289,226,269
8.632073879241943,23034,51,710,285,204,243
8.79296088218689,22858,47,691,282,197,235
8.952414512634277,20834,49,695,283,199,236
9.107630252838135,21999,50,702,284,201,239
9.268058061599731,21402,50,707,287,203,241
9.422772645950317,20840,51,715,290,205,243
9.57912802696228,18326,53,732,298,210,247
9.73751711845398,18066,54,737,300,211,248
9.894108295440674,15958,55,734,301,211,246
10.051413297653198,17812,54,740,302,212,249
10.210289716720581,17016,54,735,300,211,247
10.377675533294678,15962,56,737,301,212,247
10.532169342041016,15962,56,736,301,212,247
10.6928870677948,15958,55,734,301,211,246
10.85248064994812,16922,53,734,301,210,246
11.012225866317749,17067,52,729,300,208,244
11.167738676071167,17224,50,724,299,206,242
11.327679872512817,17367,50,720,298,205,241
11.483220338821411,17393,49,718,298,204,240
11.640321016311646,17295,48,717,299,203,239
11.790402889251709,18741,47,716,298,202,239
11.956282615661621,17575,48,715,297,202,238
12.118273258209229,18741,47,715,298,202,239
12.277687072753906,17701,48,713,296,202,238
12.437716245651245,17825,48,711,295,202,238
12.597337007522583,19013,50,699,286,200,236
12.746201515197754,21181,49,691,281,198,235
12.912713289260864,20948,48,694,283,198,235
13.072265625,21554,47,685,280,196,233
13.228920459747314,19914,48,685,281,196,232
13.388597965240479,21069,46,689,284,196,233
13.547804832458496,19829,45,701,292,198,235
13.696060180664062,17944,46,706,295,199,235
13.86360764503479,18205,46,703,293,199,235
14.023300886154175,17944,46,707,295,199,235
14.17842173576355,17642,46,709,297,200,236
14.335083484649658,17773,46,706,296,200,236
14.497918605804443,17812,45,706,296,199,235
14.657180786132812,17812,45,705,296,199,235
14.813701868057251,17812,45,705,296,199,235
14.968626976013184,19430,44,703,295,198,235
15.125477075576782,17988,45,703,295,198,234
15.28827953338623,18122,45,702,294,198,234
15.448645830154419,18122,45,703,294,198,234
15.60786771774292,21193,46,688,283,196,233
15.763440608978271,22049,48,681,277,195,232
15.923906803131104,20824,47,692,285,197,234
16.08044123649597,21962,46,681,279,194,231
16.242050409317017,22241,46,678,278,193,230
16.399084091186523,20351,47,678,279,194,230
16.55857515335083,21464,45,684,283,194,231
16.71813178062439,20680,44,691,288,195,232
16.858616590499878,19890,43,697,293,196,233
17.024250745773315,17469,43,704,299,197,233
17.188602447509766,20027,44,696,292,196,233
17.348450422286987,20027,44,696,292,196,233
17.50806736946106,20163,44,696,291,196,233
17.66787075996399,19890,43,697,293,196,233
17.823471307754517,19890,43,696,293,196,233
17.984046459197998,18499,44,695,292,196,232
18.133896827697754,20274,43,693,291,195,232
18.299824237823486,20135,43,695,292,195,232
18.45905351638794,20135,43,695,292,195,232
18.618647575378418,20274,43,693,291,195,232
18.77838444709778,20546,44,691,289,195,232
18.9339280128479,20411,43,692,290,195,232
19.094096899032593,21206,44,686,285,194,231
19.253328323364258,22241,46,678,278,193,230
19.40942931175232,23854,47,699,286,199,238
19.568386554718018,22362,46,676,277,193,230
19.728362321853638,24601,45,673,276,192,230
19.888087034225464,24601,45,673,276,192,230
20.037638425827026,21611,44,682,283,193,230
20.203937292099,21980,41,694,293,194,232
20.355919361114502,20391,42,691,291,194,231
20.515589952468872,20391,42,692,291,194,231
20.67877960205078,20391,42,691,291,194,231
20.83861494064331,19994,42,694,293,195,232
20.994624376296997,21980,41,693,293,194,232
21.15335202217102,20669,43,689,289,194,231
21.313708305358887,20391,42,691,291,194,231
21.473050832748413,19852,42,695,294,195,232
21.6293888092041,22122,41,692,292,194,232
21.781261920928955,20391,42,691,291,194,231
21.94130802154541,20531,42,689,290,194,231
22.09712791442871,20531,42,690,290,194,231
22.26375937461853,20531,42,690,290,194,231
22.42328381538391,23003,42,686,287,193,231
22.57966637611389,22868,42,687,288,193,231
22.73932194709778,24123,43,677,280,192,230
22.891845226287842,22775,46,672,275,192,229
23.054684162139893,22482,46,675,276,193,230
23.206230878829956,24484,44,674,277,192,230
23.374122858047485,22775,46,671,275,192,229
