time(s),colorTemp,lux,R,G,B
0.2513082027435303,22151,100,927,328,287,336
0.5153448581695557,22151,100,926,328,287,336
0.7734415531158447,22151,100,927,328,287,336
1.0327730178833008,22151,100,926,328,287,336
1.295424461364746,22151,100,926,328,287,336
1.5522334575653076,22151,100,926,328,287,336
1.8180811405181885,22151,100,926,328,287,336
2.078634738922119,22151,100,927,328,287,336
2.335749387741089,22151,100,927,328,287,336
2.589172601699829,22151,100,927,328,287,336
2.849775791168213,22151,100,926,328,287,336
3.1010031700134277,22151,100,927,328,287,336
3.360952377319336,22151,100,927,328,287,336
3.6158859729766846,22151,100,926,328,287,336
3.8688485622406006,22151,100,926,328,287,336
4.134284496307373,22151,100,926,328,287,336
4.3856120109558105,22151,100,927,328,287,336
4.636725902557373,22151,100,927,328,287,336
4.897778272628784,22151,100,927,328,287,336
5.151187896728516,22151,100,927,328,287,336
